😀	guyu, rai, rai ngguyu
💁🏾	anyangga, informasi, kulit sawo mateng, nggaya, pitulungan, tangan, wong tangane anyangga, wong tangane anyangga: kulit sawo mateng
💁🏿	anyangga, informasi, kulit ireng, nggaya, pitulungan, tangan, wong tangane anyangga, wong tangane anyangga: kulit ireng
💁‍♂	nggaya, tangan anyangga, wong lanang, wong lanang tangane anyangga
💁🏻‍♂	kulit putih, nggaya, tangan anyangga, wong lanang, wong lanang tangane anyangga, wong lanang tangane anyangga: kulit putih
💁🏼‍♂	kulit putih langsep, nggaya, tangan anyangga, wong lanang, wong lanang tangane anyangga, wong lanang tangane anyangga: kulit putih langsep
💁🏽‍♂	kulit kuning, nggaya, tangan anyangga, wong lanang, wong lanang tangane anyangga, wong lanang tangane anyangga: kulit kuning
💁🏾‍♂	kulit sawo mateng, nggaya, tangan anyangga, wong lanang, wong lanang tangane anyangga, wong lanang tangane anyangga: kulit sawo mateng
💁🏿‍♂	kulit ireng, nggaya, tangan anyangga, wong lanang, wong lanang tangane anyangga, wong lanang tangane anyangga: kulit ireng
💁‍♀	nggaya, tangan anyangga, wong wadon, wong wadon tangane anyangga
💁🏻‍♀	kulit putih, nggaya, tangan anyangga, wong wadon, wong wadon tangane anyangga, wong wadon tangane anyangga: kulit putih
💁🏼‍♀	kulit putih langsep, nggaya, tangan anyangga, wong wadon, wong wadon tangane anyangga, wong wadon tangane anyangga: kulit putih langsep
💁🏽‍♀	kulit kuning, nggaya, tangan anyangga, wong wadon, wong wadon tangane anyangga, wong wadon tangane anyangga: kulit kuning
💁🏾‍♀	kulit sawo mateng, nggaya, tangan anyangga, wong wadon, wong wadon tangane anyangga, wong wadon tangane anyangga: kulit sawo mateng
💁🏿‍♀	kulit ireng, nggaya, tangan anyangga, wong wadon, wong wadon tangane anyangga, wong wadon tangane anyangga: kulit ireng
🙋	bungah, isarat, ngacung, tangan, wong ngacungake tangan
🙋🏻	bungah, isarat, kulit putih, ngacung, tangan, wong ngacungake tangan, wong ngacungake tangan: kulit putih
🙋🏼	bungah, isarat, kulit putih langsep, ngacung, tangan, wong ngacungake tangan, wong ngacungake tangan: kulit putih langsep
🙋🏽	bungah, isarat, kulit kuning, ngacung, tangan, wong ngacungake tangan, wong ngacungake tangan: kulit kuning
🙋🏾	bungah, isarat, kulit sawo mateng, ngacung, tangan, wong ngacungake tangan, wong ngacungake tangan: kulit sawo mateng
🙋🏿	bungah, isarat, kulit ireng, ngacung, tangan, wong ngacungake tangan, wong ngacungake tangan: kulit ireng
🙋‍♂	isarat, ngacungake tangan, wong lanang, wong lanang ngacungake tangan
🙋🏻‍♂	isarat, kulit putih, ngacungake tangan, wong lanang, wong lanang ngacungake tangan, wong lanang ngacungake tangan: kulit putih
🙋🏼‍♂	isarat, kulit putih langsep, ngacungake tangan, wong lanang, wong lanang ngacungake tangan, wong lanang ngacungake tangan: kulit putih langsep
🙋🏽‍♂	isarat, kulit kuning, ngacungake tangan, wong lanang, wong lanang ngacungake tangan, wong lanang ngacungake tangan: kulit kuning
🙋🏾‍♂	isarat, kulit sawo mateng, ngacungake tangan, wong lanang, wong lanang ngacungake tangan, wong lanang ngacungake tangan: kulit sawo mateng
🙋🏿‍♂	isarat, kulit ireng, ngacungake tangan, wong lanang, wong lanang ngacungake tangan, wong lanang ngacungake tangan: kulit ireng
🙋‍♀	isarat, ngacungake tangan, wong wadon, wong wadon ngacungake tangan
🙋🏻‍♀	isarat, kulit putih, ngacungake tangan, wong wadon, wong wadon ngacungake tangan, wong wadon ngacungake tangan: kulit putih
🙋🏼‍♀	isarat, kulit putih langsep, ngacungake tangan, wong wadon, wong wadon ngacungake tangan, wong wadon ngacungake tangan: kulit putih langsep
🙋🏽‍♀	isarat, kulit kuning, ngacungake tangan, wong wadon, wong wadon ngacungake tangan, wong wadon ngacungake tangan: kulit kuning
🙋🏾‍♀	isarat, kulit sawo mateng, ngacungake tangan, wong wadon, wong wadon ngacungake tangan, wong wadon ngacungake tangan: kulit sawo mateng
🙋🏿‍♀	isarat, kulit ireng, ngacungake tangan, wong wadon, wong wadon ngacungake tangan, wong wadon ngacungake tangan: kulit ireng
🧏	budheg, kalancaran, krungu, kuping, wong budheg
🧏🏻	budheg, kalancaran, krungu, kulit putih, kuping, wong budheg, wong budheg: kulit putih
🧏🏼	budheg, kalancaran, krungu, kulit putih langsep, kuping, wong budheg, wong budheg: kulit putih langsep
🧏🏽	budheg, kalancaran, krungu, kulit kuning, kuping, wong budheg, wong budheg: kulit kuning
🧏🏾	budheg, kalancaran, krungu, kulit sawo mateng, kuping, wong budheg, wong budheg: kulit sawo mateng
🧏🏿	budheg, kalancaran, krungu, kulit ireng, kuping, wong budheg, wong budheg: kulit ireng
🧏‍♂	budheg, wong lanang, wong lanang budheg
🧏🏻‍♂	budheg, kulit putih, wong lanang, wong lanang budheg, wong lanang budheg: kulit putih
🧏🏼‍♂	budheg, kulit putih langsep, wong lanang, wong lanang budheg, wong lanang budheg: kulit putih langsep
🧏🏽‍♂	budheg, kulit kuning, wong lanang, wong lanang budheg, wong lanang budheg: kulit kuning
🧏🏾‍♂	budheg, kulit sawo mateng, wong lanang, wong lanang budheg, wong lanang budheg: kulit sawo mateng
🧏🏿‍♂	budheg, kulit ireng, wong lanang, wong lanang budheg, wong lanang budheg: kulit ireng
🧏‍♀	budheg, wong wadon, wong wadon budheg
🧏🏻‍♀	budheg, kulit putih, wong wadon, wong wadon budheg, wong wadon budheg: kulit putih
🧏🏼‍♀	budheg, kulit putih langsep, wong wadon, wong wadon budheg, wong wadon budheg: kulit putih langsep
🧏🏽‍♀	budheg, kulit kuning, wong wadon, wong wadon budheg, wong wadon budheg: kulit kuning
🧏🏾‍♀	budheg, kulit sawo mateng, wong wadon, wong wadon budheg, wong wadon budheg: kulit sawo mateng
🧏🏿‍♀	budheg, kulit ireng, wong wadon, wong wadon budheg, wong wadon budheg: kulit ireng
🙇	isarat, kilap, mbungkuk, njaluk ngapura, wong mbungkuk ngurmati
🙇🏻	isarat, kilap, kulit putih, mbungkuk, njaluk ngapura, wong mbungkuk ngurmati, wong mbungkuk ngurmati: kulit putih
🙇🏼	isarat, kilap, kulit putih langsep, mbungkuk, njaluk ngapura, wong mbungkuk ngurmati, wong mbungkuk ngurmati: kulit putih langsep
🙇🏽	isarat, kilap, kulit kuning, mbungkuk, njaluk ngapura, wong mbungkuk ngurmati, wong mbungkuk ngurmati: kulit kuning
🙇🏾	isarat, kilap, kulit sawo mateng, mbungkuk, njaluk ngapura, wong mbungkuk ngurmati, wong mbungkuk ngurmati: kulit sawo mateng
🙇🏿	isarat, kilap, kulit ireng, mbungkuk, njaluk ngapura, wong mbungkuk ngurmati, wong mbungkuk ngurmati: kulit ireng
🙇‍♂	isarat, kilap, mbungkuk, njaluk ngapura, njaluk tulung, wong lanang, wong lanang mbungkuk ngurmati
🙇🏻‍♂	isarat, kilap, kulit putih, mbungkuk, njaluk ngapura, njaluk tulung, wong lanang, wong lanang mbungkuk ngurmati, wong lanang mbungkuk ngurmati: kulit putih
🙇🏼‍♂	isarat, kilap, kulit putih langsep, mbungkuk, njaluk ngapura, njaluk tulung, wong lanang, wong lanang mbungkuk ngurmati, wong lanang mbungkuk ngurmati: kulit putih langsep
🙇🏽‍♂	isarat, kilap, kulit kuning, mbungkuk, njaluk ngapura, njaluk tulung, wong lanang, wong lanang mbungkuk ngurmati, wong lanang mbungkuk ngurmati: kulit kuning
🙇🏾‍♂	isarat, kilap, kulit sawo mateng, mbungkuk, njaluk ngapura, njaluk tulung, wong lanang, wong lanang mbungkuk ngurmati, wong lanang mbungkuk ngurmati: kulit sawo mateng
🙇🏿‍♂	isarat, kilap, kulit ireng, mbungkuk, njaluk ngapura, njaluk tulung, wong lanang, wong lanang mbungkuk ngurmati, wong lanang mbungkuk ngurmati: kulit ireng
🙇‍♀	isarat, kilap, mbungkuk, njaluk ngapura, njaluk tulung, wong wadon, wong wadon mbungkuk ngurmati
🙇🏻‍♀	isarat, kilap, kulit putih, mbungkuk, njaluk ngapura, njaluk tulung, wong wadon, wong wadon mbungkuk ngurmati, wong wadon mbungkuk ngurmati: kulit putih
🙇🏼‍♀	isarat, kilap, kulit putih langsep, mbungkuk, njaluk ngapura, njaluk tulung, wong wadon, wong wadon mbungkuk ngurmati, wong wadon mbungkuk ngurmati: kulit putih langsep
🙇🏽‍♀	isarat, kilap, kulit kuning, mbungkuk, njaluk ngapura, njaluk tulung, wong wadon, wong wadon mbungkuk ngurmati, wong wadon mbungkuk ngurmati: kulit kuning
🙇🏾‍♀	isarat, kilap, kulit sawo mateng, mbungkuk, njaluk ngapura, njaluk tulung, wong wadon, wong wadon mbungkuk ngurmati, wong wadon mbungkuk ngurmati: kulit sawo mateng
🙇🏿‍♀	isarat, kilap, kulit ireng, mbungkuk, njaluk ngapura, njaluk tulung, wong wadon, wong wadon mbungkuk ngurmati, wong wadon mbungkuk ngurmati: kulit ireng
🤦	dlamakan, gumun, mangkel, rai, wong anutup raine mawa dlamakan
🤦🏻	dlamakan, gumun, kulit putih, mangkel, rai, wong anutup raine mawa dlamakan, wong anutup raine mawa dlamakan: kulit putih
🤦🏼	dlamakan, gumun, kulit putih langsep, mangkel, rai, wong anutup raine mawa dlamakan, wong anutup raine mawa dlamakan: kulit putih langsep
🤦🏽	dlamakan, gumun, kulit kuning, mangkel, rai, wong anutup raine mawa dlamakan, wong anutup raine mawa dlamakan: kulit kuning
🤦🏾	dlamakan, gumun, kulit sawo mateng, mangkel, rai, wong anutup raine mawa dlamakan, wong anutup raine mawa dlamakan: kulit sawo mateng
🤦🏿	dlamakan, gumun, kulit ireng, mangkel, rai, wong anutup raine mawa dlamakan, wong anutup raine mawa dlamakan: kulit ireng
🤦‍♂	dlamakan ing rai, gumun, mangkel, wong lanang, wong lanang anutup raine mawa dlamakan
🤦🏻‍♂	dlamakan ing rai, gumun, kulit putih, mangkel, wong lanang, wong lanang anutup raine mawa dlamakan, wong lanang anutup raine mawa dlamakan: kulit putih
🤦🏼‍♂	dlamakan ing rai, gumun, kulit putih langsep, mangkel, wong lanang, wong lanang anutup raine mawa dlamakan, wong lanang anutup raine mawa dlamakan: kulit putih langsep
🤦🏽‍♂	dlamakan ing rai, gumun, kulit kuning, mangkel, wong lanang, wong lanang anutup raine mawa dlamakan, wong lanang anutup raine mawa dlamakan: kulit kuning
🤦🏾‍♂	dlamakan ing rai, gumun, kulit sawo mateng, mangkel, wong lanang, wong lanang anutup raine mawa dlamakan, wong lanang anutup raine mawa dlamakan: kulit sawo mateng
🤦🏿‍♂	dlamakan ing rai, gumun, kulit ireng, mangkel, wong lanang, wong lanang anutup raine mawa dlamakan, wong lanang anutup raine mawa dlamakan: kulit ireng
🤦‍♀	dlamakan ing rai, gumun, mangkel, wong wadon, wong wadon anutup raine mawa dlamakan
🤦🏻‍♀	dlamakan ing rai, gumun, kulit putih, mangkel, wong wadon, wong wadon anutup raine mawa dlamakan, wong wadon anutup raine mawa dlamakan: kulit putih
🤦🏼‍♀	dlamakan ing rai, gumun, kulit putih langsep, mangkel, wong wadon, wong wadon anutup raine mawa dlamakan, wong wadon anutup raine mawa dlamakan: kulit putih langsep
🤦🏽‍♀	dlamakan ing rai, gumun, kulit kuning, mangkel, wong wadon, wong wadon anutup raine mawa dlamakan, wong wadon anutup raine mawa dlamakan: kulit kuning
🤦🏾‍♀	dlamakan ing rai, gumun, kulit sawo mateng, mangkel, wong wadon, wong wadon anutup raine mawa dlamakan, wong wadon anutup raine mawa dlamakan: kulit sawo mateng
🤦🏿‍♀	dlamakan ing rai, gumun, kulit ireng, mangkel, wong wadon, wong wadon anutup raine mawa dlamakan, wong wadon anutup raine mawa dlamakan: kulit ireng
🤷	angangkat pundhak, mangu-mangu, ora gati, ora sudi, wong angangkat pundhak
🤷🏻	angangkat pundhak, kulit putih, mangu-mangu, ora gati, ora sudi, wong angangkat pundhak, wong angangkat pundhak: kulit putih
🤷🏼	angangkat pundhak, kulit putih langsep, mangu-mangu, ora gati, ora sudi, wong angangkat pundhak, wong angangkat pundhak: kulit putih langsep
🤷🏽	angangkat pundhak, kulit kuning, mangu-mangu, ora gati, ora sudi, wong angangkat pundhak, wong angangkat pundhak: kulit kuning
🤷🏾	angangkat pundhak, kulit sawo mateng, mangu-mangu, ora gati, ora sudi, wong angangkat pundhak, wong angangkat pundhak: kulit sawo mateng
🤷🏿	angangkat pundhak, kulit ireng, mangu-mangu, ora gati, ora sudi, wong angangkat pundhak, wong angangkat pundhak: kulit ireng
🤷‍♂	mangu-mangu, ngangkat pundhak, ora gati, ora sudi, wong lanang, wong lanang angangkat pundhak
🤷🏻‍♂	kulit putih, mangu-mangu, ngangkat pundhak, ora gati, ora sudi, wong lanang, wong lanang angangkat pundhak, wong lanang angangkat pundhak: kulit putih
🤷🏼‍♂	kulit putih langsep, mangu-mangu, ngangkat pundhak, ora gati, ora sudi, wong lanang, wong lanang angangkat pundhak, wong lanang angangkat pundhak: kulit putih langsep
🤷🏽‍♂	kulit kuning, mangu-mangu, ngangkat pundhak, ora gati, ora sudi, wong lanang, wong lanang angangkat pundhak, wong lanang angangkat pundhak: kulit kuning
🤷🏾‍♂	kulit sawo mateng, mangu-mangu, ngangkat pundhak, ora gati, ora sudi, wong lanang, wong lanang angangkat pundhak, wong lanang angangkat pundhak: kulit sawo mateng
🤷🏿‍♂	kulit ireng, mangu-mangu, ngangkat pundhak, ora gati, ora sudi, wong lanang, wong lanang angangkat pundhak, wong lanang angangkat pundhak: kulit ireng
🤷‍♀	mangu-mangu, ngangkat pundhak, ora gati, ora sudi, wong wadon, wong wadon ngangkat pundhak
🤷🏻‍♀	kulit putih, mangu-mangu, ngangkat pundhak, ora gati, ora sudi, wong wadon, wong wadon ngangkat pundhak, wong wadon ngangkat pundhak: kulit putih
🤷🏼‍♀	kulit putih langsep, mangu-mangu, ngangkat pundhak, ora gati, ora sudi, wong wadon, wong wadon ngangkat pundhak, wong wadon ngangkat pundhak: kulit putih langsep
🤷🏽‍♀	kulit kuning, mangu-mangu, ngangkat pundhak, ora gati, ora sudi, wong wadon, wong wadon ngangkat pundhak, wong wadon ngangkat pundhak: kulit kuning
🤷🏾‍♀	kulit sawo mateng, mangu-mangu, ngangkat pundhak, ora gati, ora sudi, wong wadon, wong wadon ngangkat pundhak, wong wadon ngangkat pundhak: kulit sawo mateng
🤷🏿‍♀	kulit ireng, mangu-mangu, ngangkat pundhak, ora gati, ora sudi, wong wadon, wong wadon ngangkat pundhak, wong wadon ngangkat pundhak: kulit ireng
👨‍⚕	dokter, mantri lanang, parumatan kasehatan, perawat, terapis, wong lanang
👨🏻‍⚕	dokter, kulit putih, mantri lanang, mantri lanang: kulit putih, parumatan kasehatan, perawat, terapis, wong lanang
👨🏼‍⚕	dokter, kulit putih langsep, mantri lanang, mantri lanang: kulit putih langsep, parumatan kasehatan, perawat, terapis, wong lanang
👨🏽‍⚕	dokter, kulit kuning, mantri lanang, mantri lanang: kulit kuning, parumatan kasehatan, perawat, terapis, wong lanang
👨🏾‍⚕	dokter, kulit sawo mateng, mantri lanang, mantri lanang: kulit sawo mateng, parumatan kasehatan, perawat, terapis, wong lanang
👨🏿‍⚕	dokter, kulit ireng, mantri lanang, mantri lanang: kulit ireng, parumatan kasehatan, perawat, terapis, wong lanang
👩‍⚕	dokter, mantri wadon, parumatan kasehatan, perawat, terapis, wong wadon
👩🏻‍⚕	dokter, kulit putih, mantri wadon, mantri wadon: kulit putih, parumatan kasehatan, perawat, terapis, wong wadon
👩🏼‍⚕	dokter, kulit putih langsep, mantri wadon, mantri wadon: kulit putih langsep, parumatan kasehatan, perawat, terapis, wong wadon
👩🏽‍⚕	dokter, kulit kuning, mantri wadon, mantri wadon: kulit kuning, parumatan kasehatan, perawat, terapis, wong wadon
👩🏾‍⚕	dokter, kulit sawo mateng, mantri wadon, mantri wadon: kulit sawo mateng, parumatan kasehatan, perawat, terapis, wong wadon
👩🏿‍⚕	dokter, kulit ireng, mantri wadon, mantri wadon: kulit ireng, parumatan kasehatan, perawat, terapis, wong wadon
👨‍🎓	lanang, mahasiswa, mahasiswa lanang, wisuda
👨🏻‍🎓	kulit putih, lanang, mahasiswa, mahasiswa lanang: kulit putih, wisuda
👨🏼‍🎓	kulit putih langsep, lanang, mahasiswa, mahasiswa lanang: kulit putih langsep, wisuda
👨🏽‍🎓	kulit kuning, lanang, mahasiswa, mahasiswa lanang: kulit kuning, wisuda
👨🏾‍🎓	kulit sawo mateng, lanang, mahasiswa, mahasiswa lanang: kulit sawo mateng, wisuda
👨🏿‍🎓	kulit ireng, lanang, mahasiswa, mahasiswa lanang: kulit ireng, wisuda
👩‍🎓	mahasiswa, mahasiswa wadon, wadon, wisuda
👩🏻‍🎓	kulit putih, mahasiswa, mahasiswa wadon: kulit putih, wadon, wisuda
👩🏼‍🎓	kulit putih langsep, mahasiswa, mahasiswa wadon: kulit putih langsep, wadon, wisuda
👩🏽‍🎓	kulit kuning, mahasiswa, mahasiswa wadon: kulit kuning, wadon, wisuda
👩🏾‍🎓	kulit sawo mateng, mahasiswa, mahasiswa wadon: kulit sawo mateng, wadon, wisuda
👩🏿‍🎓	kulit ireng, mahasiswa, mahasiswa wadon: kulit ireng, wadon, wisuda
👨‍🏫	dosen, guru, guru lanang, instruktur, lanang
👨🏻‍🏫	dosen, guru, guru lanang: kulit putih, instruktur, kulit putih, lanang
👨🏼‍🏫	dosen, guru, guru lanang: kulit putih langsep, instruktur, kulit putih langsep, lanang
👨🏽‍🏫	dosen, guru, guru lanang: kulit kuning, instruktur, kulit kuning, lanang
👨🏾‍🏫	dosen, guru, guru lanang: kulit sawo mateng, instruktur, kulit sawo mateng, lanang
👨🏿‍🏫	dosen, guru, guru lanang: kulit ireng, instruktur, kulit ireng, lanang
👩‍🏫	dosen, guru, guru wadon, instruktur, wadon
👩🏻‍🏫	dosen, guru, guru wadon: kulit putih, instruktur, kulit putih, wadon
👩🏼‍🏫	dosen, guru, guru wadon: kulit putih langsep, instruktur, kulit putih langsep, wadon
👩🏽‍🏫	dosen, guru, guru wadon: kulit kuning, instruktur, kulit kuning, wadon
👩🏾‍🏫	dosen, guru, guru wadon: kulit sawo mateng, instruktur, kulit sawo mateng, wadon
👩🏿‍🏫	dosen, guru, guru wadon: kulit ireng, instruktur, kulit ireng, wadon
👨‍⚖	adil, hakim lanang, lanang, pradata, timbangan
👨🏻‍⚖	adil, hakim lanang, hakim lanang: kulit putih, kulit putih, lanang, pradata, timbangan
👨🏼‍⚖	adil, hakim lanang, hakim lanang: kulit putih langsep, kulit putih langsep, lanang, pradata, timbangan
👨🏽‍⚖	adil, hakim lanang, hakim lanang: kulit kuning, kulit kuning, lanang, pradata, timbangan
👨🏾‍⚖	adil, hakim lanang, hakim lanang: kulit sawo mateng, kulit sawo mateng, lanang, pradata, timbangan
👨🏿‍⚖	adil, hakim lanang, hakim lanang: kulit ireng, kulit ireng, lanang, pradata, timbangan
👩‍⚖	hakim wadon, pradata, timbangan, wadon
👩🏻‍⚖	hakim wadon, hakim wadon: kulit putih, kulit putih, pradata, timbangan, wadon
👩🏼‍⚖	hakim wadon, hakim wadon: kulit putih langsep, kulit putih langsep, pradata, timbangan, wadon
👩🏽‍⚖	hakim wadon, hakim wadon: kulit kuning, kulit kuning, pradata, timbangan, wadon
👩🏾‍⚖	hakim wadon, hakim wadon: kulit sawo mateng, kulit sawo mateng, pradata, timbangan, wadon
👩🏿‍⚖	hakim wadon, hakim wadon: kulit ireng, kulit ireng, pradata, timbangan, wadon
👨‍🌾	juragan tani, lanang, pak tani, tani, tukang kebon
👨🏻‍🌾	juragan tani, kulit putih, lanang, pak tani, pak tani: kulit putih, tani, tukang kebon
👨🏼‍🌾	juragan tani, kulit putih langsep, lanang, pak tani, pak tani: kulit putih langsep, tani, tukang kebon
👨🏽‍🌾	juragan tani, kulit kuning, lanang, pak tani, pak tani: kulit kuning, tani, tukang kebon
👨🏾‍🌾	juragan tani, kulit sawo mateng, lanang, pak tani, pak tani: kulit sawo mateng, tani, tukang kebon
👨🏿‍🌾	juragan tani, kulit ireng, lanang, pak tani, pak tani: kulit ireng, tani, tukang kebon
👩‍🌾	bu tani, juragan tani, tani, tukang kebon, wadon
👩🏻‍🌾	bu tani, bu tani: kulit putih, juragan tani, kulit putih, tani, tukang kebon, wadon
👩🏼‍🌾	bu tani, bu tani: kulit putih langsep, juragan tani, kulit putih langsep, tani, tukang kebon, wadon
👩🏽‍🌾	bu tani, bu tani: kulit kuning, juragan tani, kulit kuning, tani, tukang kebon, wadon
👩🏾‍🌾	bu tani, bu tani: kulit sawo mateng, juragan tani, kulit sawo mateng, tani, tukang kebon, wadon
👩🏿‍🌾	bu tani, bu tani: kulit ireng, juragan tani, kulit ireng, tani, tukang kebon, wadon
👨‍🍳	koki, koki lanang, lanang, mangsak
👨🏻‍🍳	koki, koki lanang: kulit putih, kulit putih, lanang, mangsak
👨🏼‍🍳	koki, koki lanang: kulit putih langsep, kulit putih langsep, lanang, mangsak
👨🏽‍🍳	koki, koki lanang: kulit kuning, kulit kuning, lanang, mangsak
👨🏾‍🍳	koki, koki lanang: kulit sawo mateng, kulit sawo mateng, lanang, mangsak
👨🏿‍🍳	koki, koki lanang: kulit ireng, kulit ireng, lanang, mangsak
👩‍🍳	koki, koki wadon, mangsak, wadon
👩🏻‍🍳	koki, koki wadon: kulit putih, kulit putih, mangsak, wadon
👩🏼‍🍳	koki, koki wadon: kulit putih langsep, kulit putih langsep, mangsak, wadon
👩🏽‍🍳	koki, koki wadon: kulit kuning, kulit kuning, mangsak, wadon
👩🏾‍🍳	koki, koki wadon: kulit sawo mateng, kulit sawo mateng, mangsak, wadon
👩🏿‍🍳	koki, koki wadon: kulit ireng, kulit ireng, mangsak, wadon
👨‍🔧	lanang, montir, montir lanang, tukang, tukang ledheng, tukang listrik
👨🏻‍🔧	kulit putih, lanang, montir, montir lanang: kulit putih, tukang, tukang ledheng, tukang listrik
👨🏼‍🔧	kulit putih langsep, lanang, montir, montir lanang: kulit putih langsep, tukang, tukang ledheng, tukang listrik
👨🏽‍🔧	kulit kuning, lanang, montir, montir lanang: kulit kuning, tukang, tukang ledheng, tukang listrik
👨🏾‍🔧	kulit sawo mateng, lanang, montir, montir lanang: kulit sawo mateng, tukang, tukang ledheng, tukang listrik
👨🏿‍🔧	kulit ireng, lanang, montir, montir lanang: kulit ireng, tukang, tukang ledheng, tukang listrik
👩‍🔧	montir, montir wadon, tukang, tukang ledheng, tukang listrik, wadon
👩🏻‍🔧	kulit putih, montir, montir wadon: kulit putih, tukang, tukang ledheng, tukang listrik, wadon
👩🏼‍🔧	kulit putih langsep, montir, montir wadon: kulit putih langsep, tukang, tukang ledheng, tukang listrik, wadon
👩🏽‍🔧	kulit kuning, montir, montir wadon: kulit kuning, tukang, tukang ledheng, tukang listrik, wadon
👩🏾‍🔧	kulit sawo mateng, montir, montir wadon: kulit sawo mateng, tukang, tukang ledheng, tukang listrik, wadon
👩🏿‍🔧	kulit ireng, montir, montir wadon: kulit ireng, tukang, tukang ledheng, tukang listrik, wadon
👨‍🏭	buruh, buruh pabrik lanang, industri, karoseri, lanang, pabrik
👨🏻‍🏭	buruh, buruh pabrik lanang: kulit putih, industri, karoseri, kulit putih, lanang, pabrik
👨🏼‍🏭	buruh, buruh pabrik lanang: kulit putih langsep, industri, karoseri, kulit putih langsep, lanang, pabrik
👨🏽‍🏭	buruh, buruh pabrik lanang: kulit kuning, industri, karoseri, kulit kuning, lanang, pabrik
👨🏾‍🏭	buruh, buruh pabrik lanang: kulit sawo mateng, industri, karoseri, kulit sawo mateng, lanang, pabrik
👨🏿‍🏭	buruh, buruh pabrik lanang: kulit ireng, industri, karoseri, kulit ireng, lanang, pabrik
👩‍🏭	buruh, buruh pabrik wadon, industri, karoseri, lanang, pabrik
👩🏻‍🏭	buruh, buruh pabrik wadon, buruh pabrik wadon: kulit putih, industri, karoseri, kulit putih, lanang, pabrik
👩🏼‍🏭	buruh, buruh pabrik wadon, buruh pabrik wadon: kulit putih langsep, industri, karoseri, kulit putih langsep, lanang, pabrik
👩🏽‍🏭	buruh, buruh pabrik wadon, buruh pabrik wadon: kulit kuning, industri, karoseri, kulit kuning, lanang, pabrik
👩🏾‍🏭	buruh, buruh pabrik wadon, buruh pabrik wadon: kulit sawo mateng, industri, karoseri, kulit sawo mateng, lanang, pabrik
👩🏿‍🏭	buruh, buruh pabrik wadon, buruh pabrik wadon: kulit ireng, industri, karoseri, kulit ireng, lanang, pabrik
👨‍💼	arsitek, bisnis, lanang, manajer, pegawe, pegawe kantor lanang
👨🏻‍💼	arsitek, bisnis, kulit putih, lanang, manajer, pegawe, pegawe kantor lanang, pegawe kantor lanang: kulit putih
👨🏼‍💼	arsitek, bisnis, kulit putih langsep, lanang, manajer, pegawe, pegawe kantor lanang, pegawe kantor lanang: kulit putih langsep
👨🏽‍💼	arsitek, bisnis, kulit kuning, lanang, manajer, pegawe, pegawe kantor lanang, pegawe kantor lanang: kulit kuning
👨🏾‍💼	arsitek, bisnis, kulit sawo mateng, lanang, manajer, pegawe, pegawe kantor lanang, pegawe kantor lanang: kulit sawo mateng
👨🏿‍💼	arsitek, bisnis, kulit ireng, lanang, manajer, pegawe, pegawe kantor lanang, pegawe kantor lanang: kulit ireng
👩‍💼	arsitek, bisnis, manajer, pegawe, pegawe kantor wadon, wadon
👩🏻‍💼	arsitek, bisnis, kulit putih, manajer, pegawe, pegawe kantor wadon, pegawe kantor wadon: kulit putih, wadon
👩🏼‍💼	arsitek, bisnis, kulit putih langsep, manajer, pegawe, pegawe kantor wadon, pegawe kantor wadon: kulit putih langsep, wadon
👩🏽‍💼	arsitek, bisnis, kulit kuning, manajer, pegawe, pegawe kantor wadon, pegawe kantor wadon: kulit kuning, wadon
👩🏾‍💼	arsitek, bisnis, kulit sawo mateng, manajer, pegawe, pegawe kantor wadon, pegawe kantor wadon: kulit sawo mateng, wadon
👩🏿‍💼	arsitek, bisnis, kulit ireng, manajer, pegawe, pegawe kantor wadon, pegawe kantor wadon: kulit ireng, wadon
👨‍🔬	ahli biologi, ahli fisika, ahli kimia, ilmuwan, ilmuwan lanang, insinyur, lanang
👨🏻‍🔬	ahli biologi, ahli fisika, ahli kimia, ilmuwan, ilmuwan lanang: kulit putih, insinyur, kulit putih, lanang
👨🏼‍🔬	ahli biologi, ahli fisika, ahli kimia, ilmuwan, ilmuwan lanang: kulit putih langsep, insinyur, kulit putih langsep, lanang
👨🏽‍🔬	ahli biologi, ahli fisika, ahli kimia, ilmuwan, ilmuwan lanang: kulit kuning, insinyur, kulit kuning, lanang
👨🏾‍🔬	ahli biologi, ahli fisika, ahli kimia, ilmuwan, ilmuwan lanang: kulit sawo mateng, insinyur, kulit sawo mateng, lanang
👨🏿‍🔬	ahli biologi, ahli fisika, ahli kimia, ilmuwan, ilmuwan lanang: kulit ireng, insinyur, kulit ireng, lanang
👩‍🔬	ahli biologi, ahli fisika, ahli kimia, ilmuwan, ilmuwan wadon, insinyur, wadon
👩🏻‍🔬	ahli biologi, ahli fisika, ahli kimia, ilmuwan, ilmuwan wadon: kulit putih, insinyur, kulit putih, wadon
👩🏼‍🔬	ahli biologi, ahli fisika, ahli kimia, ilmuwan, ilmuwan wadon: kulit putih langsep, insinyur, kulit putih langsep, wadon
👩🏽‍🔬	ahli biologi, ahli fisika, ahli kimia, ilmuwan, ilmuwan wadon: kulit kuning, insinyur, kulit kuning, wadon
👩🏾‍🔬	ahli biologi, ahli fisika, ahli kimia, ilmuwan, ilmuwan wadon: kulit sawo mateng, insinyur, kulit sawo mateng, wadon
