😀	muka, muka tersengih, sengih
🤷🏼	angkat bahu, angkat bahu: ton kulit sederhana cerah, sangsi, tak peduli, tidak tahu, ton kulit sederhana cerah
🤷🏽	angkat bahu, angkat bahu: ton kulit sederhana, sangsi, tak peduli, tidak tahu, ton kulit sederhana
🤷🏾	angkat bahu, angkat bahu: ton kulit sederhana gelap, sangsi, tak peduli, tidak tahu, ton kulit sederhana gelap
🤷🏿	angkat bahu, angkat bahu: ton kulit gelap, sangsi, tak peduli, tidak tahu, ton kulit gelap
🤷‍♂	angkat bahu, kejahilan, lelaki, lelaki mengangkat bahu, sangsi, tidak peduli
🤷🏻‍♂	angkat bahu, kejahilan, lelaki, lelaki mengangkat bahu, lelaki mengangkat bahu: ton kulit cerah, sangsi, tidak peduli, ton kulit cerah
🤷🏼‍♂	angkat bahu, kejahilan, lelaki, lelaki mengangkat bahu, lelaki mengangkat bahu: ton kulit sederhana cerah, sangsi, tidak peduli, ton kulit sederhana cerah
🤷🏽‍♂	angkat bahu, kejahilan, lelaki, lelaki mengangkat bahu, lelaki mengangkat bahu: ton kulit sederhana, sangsi, tidak peduli, ton kulit sederhana
🤷🏾‍♂	angkat bahu, kejahilan, lelaki, lelaki mengangkat bahu, lelaki mengangkat bahu: ton kulit sederhana gelap, sangsi, tidak peduli, ton kulit sederhana gelap
🤷🏿‍♂	angkat bahu, kejahilan, lelaki, lelaki mengangkat bahu, lelaki mengangkat bahu: ton kulit gelap, sangsi, tidak peduli, ton kulit gelap
🤷‍♀	angkat bahu, kejahilan, perempuan, perempuan mengangkat bahu, sangsi, tidak peduli, wanita
🤷🏻‍♀	angkat bahu, kejahilan, perempuan, perempuan mengangkat bahu, perempuan mengangkat bahu: ton kulit cerah, sangsi, tidak peduli, ton kulit cerah, wanita
🤷🏼‍♀	angkat bahu, kejahilan, perempuan, perempuan mengangkat bahu, perempuan mengangkat bahu: ton kulit sederhana cerah, sangsi, tidak peduli, ton kulit sederhana cerah, wanita
🤷🏽‍♀	angkat bahu, kejahilan, perempuan, perempuan mengangkat bahu, perempuan mengangkat bahu: ton kulit sederhana, sangsi, tidak peduli, ton kulit sederhana, wanita
🤷🏾‍♀	angkat bahu, kejahilan, perempuan, perempuan mengangkat bahu, perempuan mengangkat bahu: ton kulit sederhana gelap, sangsi, tidak peduli, ton kulit sederhana gelap, wanita
🤷🏿‍♀	angkat bahu, kejahilan, perempuan, perempuan mengangkat bahu, perempuan mengangkat bahu: ton kulit gelap, sangsi, tidak peduli, ton kulit gelap, wanita
👨‍⚕	ahli terapi, doktor, jururawat, lelaki, pekerja kesihatan lelaki, penjagaan kesihatan
👨🏻‍⚕	ahli terapi, doktor, jururawat, lelaki, pekerja kesihatan lelaki, pekerja kesihatan lelaki: ton kulit cerah, penjagaan kesihatan, ton kulit cerah
👨🏼‍⚕	ahli terapi, doktor, jururawat, lelaki, pekerja kesihatan lelaki, pekerja kesihatan lelaki: ton kulit sederhana cerah, penjagaan kesihatan, ton kulit sederhana cerah
👨🏽‍⚕	ahli terapi, doktor, jururawat, lelaki, pekerja kesihatan lelaki, pekerja kesihatan lelaki: ton kulit sederhana, penjagaan kesihatan, ton kulit sederhana
👨🏾‍⚕	ahli terapi, doktor, jururawat, lelaki, pekerja kesihatan lelaki, pekerja kesihatan lelaki: ton kulit sederhana gelap, penjagaan kesihatan, ton kulit sederhana gelap
👨🏿‍⚕	ahli terapi, doktor, jururawat, lelaki, pekerja kesihatan lelaki, pekerja kesihatan lelaki: ton kulit gelap, penjagaan kesihatan, ton kulit gelap
👩‍⚕	ahli terapi, doktor, jururawat, pekerja kesihatan wanita, penjagaan kesihatan, perempuan
👩🏻‍⚕	ahli terapi, doktor, jururawat, pekerja kesihatan wanita, pekerja kesihatan wanita: ton kulit cerah, penjagaan kesihatan, perempuan, ton kulit cerah
👩🏼‍⚕	ahli terapi, doktor, jururawat, pekerja kesihatan wanita, pekerja kesihatan wanita: ton kulit sederhana cerah, penjagaan kesihatan, perempuan, ton kulit sederhana cerah
👩🏽‍⚕	ahli terapi, doktor, jururawat, pekerja kesihatan wanita, pekerja kesihatan wanita: ton kulit sederhana, penjagaan kesihatan, perempuan, ton kulit sederhana
👩🏾‍⚕	ahli terapi, doktor, jururawat, pekerja kesihatan wanita, pekerja kesihatan wanita: ton kulit sederhana gelap, penjagaan kesihatan, perempuan, ton kulit sederhana gelap
👩🏿‍⚕	ahli terapi, doktor, jururawat, pekerja kesihatan wanita, pekerja kesihatan wanita: ton kulit gelap, penjagaan kesihatan, perempuan, ton kulit gelap
👨‍🎓	graduan, lelaki, pelajar, pelajar lelaki
👨🏻‍🎓	graduan, lelaki, pelajar, pelajar lelaki: ton kulit cerah, ton kulit cerah
👨🏼‍🎓	graduan, lelaki, pelajar, pelajar lelaki: ton kulit sederhana cerah, ton kulit sederhana cerah
👨🏽‍🎓	graduan, lelaki, pelajar, pelajar lelaki: ton kulit sederhana, ton kulit sederhana
👨🏾‍🎓	graduan, lelaki, pelajar, pelajar lelaki: ton kulit sederhana gelap, ton kulit sederhana gelap
👨🏿‍🎓	graduan, lelaki, pelajar, pelajar lelaki: ton kulit gelap, ton kulit gelap
👩‍🎓	graduan, pelajar, pelajar wanita, perempuan, wanita
👩🏻‍🎓	graduan, pelajar, pelajar wanita: ton kulit cerah, perempuan, ton kulit cerah, wanita
👩🏼‍🎓	graduan, pelajar, pelajar wanita: ton kulit sederhana cerah, perempuan, ton kulit sederhana cerah, wanita
👩🏽‍🎓	graduan, pelajar, pelajar wanita: ton kulit sederhana, perempuan, ton kulit sederhana, wanita
👩🏾‍🎓	graduan, pelajar, pelajar wanita: ton kulit sederhana gelap, perempuan, ton kulit sederhana gelap, wanita
👩🏿‍🎓	graduan, pelajar, pelajar wanita: ton kulit gelap, perempuan, ton kulit gelap, wanita
👨‍🏫	guru, guru lelaki, lelaki, pengajar, profesor
👨🏻‍🏫	guru, guru lelaki: ton kulit cerah, lelaki, pengajar, profesor, ton kulit cerah
👨🏼‍🏫	guru, guru lelaki: ton kulit sederhana cerah, lelaki, pengajar, profesor, ton kulit sederhana cerah
👨🏽‍🏫	guru, guru lelaki: ton kulit sederhana, lelaki, pengajar, profesor, ton kulit sederhana
👨🏾‍🏫	guru, guru lelaki: ton kulit sederhana gelap, lelaki, pengajar, profesor, ton kulit sederhana gelap
👨🏿‍🏫	guru, guru lelaki: ton kulit gelap, lelaki, pengajar, profesor, ton kulit gelap
👩‍🏫	guru, guru wanita, pengajar, profesor, wanita
👩🏻‍🏫	guru, guru wanita: ton kulit cerah, pengajar, profesor, ton kulit cerah, wanita
👩🏼‍🏫	guru, guru wanita: ton kulit sederhana cerah, pengajar, profesor, ton kulit sederhana cerah, wanita
👩🏽‍🏫	guru, guru wanita: ton kulit sederhana, pengajar, profesor, ton kulit sederhana, wanita
👩🏾‍🏫	guru, guru wanita: ton kulit sederhana gelap, pengajar, profesor, ton kulit sederhana gelap, wanita
👩🏿‍🏫	guru, guru wanita: ton kulit gelap, pengajar, profesor, ton kulit gelap, wanita
👨‍⚖	hakim, hakim lelaki, lelaki, neraca
👨🏻‍⚖	hakim, hakim lelaki: ton kulit cerah, lelaki, neraca, ton kulit cerah
👨🏼‍⚖	hakim, hakim lelaki: ton kulit sederhana cerah, lelaki, neraca, ton kulit sederhana cerah
👨🏽‍⚖	hakim, hakim lelaki: ton kulit sederhana, lelaki, neraca, ton kulit sederhana
👨🏾‍⚖	hakim, hakim lelaki: ton kulit sederhana gelap, lelaki, neraca, ton kulit sederhana gelap
👨🏿‍⚖	hakim, hakim lelaki: ton kulit gelap, lelaki, neraca, ton kulit gelap
👩‍⚖	hakim, hakim wanita, neraca, perempuan, wanita
👩🏻‍⚖	hakim, hakim wanita: ton kulit cerah, neraca, perempuan, ton kulit cerah, wanita
👩🏼‍⚖	hakim, hakim wanita: ton kulit sederhana cerah, neraca, perempuan, ton kulit sederhana cerah, wanita
👩🏽‍⚖	hakim, hakim wanita: ton kulit sederhana, neraca, perempuan, ton kulit sederhana, wanita
👩🏾‍⚖	hakim, hakim wanita: ton kulit sederhana gelap, neraca, perempuan, ton kulit sederhana gelap, wanita
👩🏿‍⚖	hakim, hakim wanita: ton kulit gelap, neraca, perempuan, ton kulit gelap, wanita
👨‍🌾	lelaki, pekebun, peladang ternak, petani, petani lelaki
👨🏻‍🌾	lelaki, pekebun, peladang ternak, petani, petani lelaki: ton kulit cerah, ton kulit cerah
👨🏼‍🌾	lelaki, pekebun, peladang ternak, petani, petani lelaki: ton kulit sederhana cerah, ton kulit sederhana cerah
👨🏽‍🌾	lelaki, pekebun, peladang ternak, petani, petani lelaki: ton kulit sederhana, ton kulit sederhana
👨🏾‍🌾	lelaki, pekebun, peladang ternak, petani, petani lelaki: ton kulit sederhana gelap, ton kulit sederhana gelap
👨🏿‍🌾	lelaki, pekebun, peladang ternak, petani, petani lelaki: ton kulit gelap, ton kulit gelap
👩‍🌾	pekebun, peladang ternak, perempuan, petani, petani wanita, wanita
👩🏻‍🌾	pekebun, peladang ternak, perempuan, petani, petani wanita: ton kulit cerah, ton kulit cerah, wanita
👩🏼‍🌾	pekebun, peladang ternak, perempuan, petani, petani wanita: ton kulit sederhana cerah, ton kulit sederhana cerah, wanita
👩🏽‍🌾	pekebun, peladang ternak, perempuan, petani, petani wanita: ton kulit sederhana, ton kulit sederhana, wanita
👩🏾‍🌾	pekebun, peladang ternak, perempuan, petani, petani wanita: ton kulit sederhana gelap, ton kulit sederhana gelap, wanita
👩🏿‍🌾	pekebun, peladang ternak, perempuan, petani, petani wanita: ton kulit gelap, ton kulit gelap, wanita
👨‍🍳	cef, lelaki, tukang masak, tukang masak lelaki
👨🏻‍🍳	cef, lelaki, ton kulit cerah, tukang masak, tukang masak lelaki, tukang masak lelaki: ton kulit cerah
👨🏼‍🍳	cef, lelaki, ton kulit sederhana cerah, tukang masak, tukang masak lelaki, tukang masak lelaki: ton kulit sederhana cerah
👨🏽‍🍳	cef, lelaki, ton kulit sederhana, tukang masak, tukang masak lelaki, tukang masak lelaki: ton kulit sederhana
👨🏾‍🍳	cef, lelaki, ton kulit sederhana gelap, tukang masak, tukang masak lelaki, tukang masak lelaki: ton kulit sederhana gelap
👨🏿‍🍳	cef, lelaki, ton kulit gelap, tukang masak, tukang masak lelaki, tukang masak lelaki: ton kulit gelap
👩‍🍳	cef, perempuan, tukang masak, tukang masak wanita, wanita
👩🏻‍🍳	cef, perempuan, ton kulit cerah, tukang masak, tukang masak wanita, tukang masak wanita: ton kulit cerah, wanita
👩🏼‍🍳	cef, perempuan, ton kulit sederhana cerah, tukang masak, tukang masak wanita, tukang masak wanita: ton kulit sederhana cerah, wanita
👩🏽‍🍳	cef, perempuan, ton kulit sederhana, tukang masak, tukang masak wanita, tukang masak wanita: ton kulit sederhana, wanita
👩🏾‍🍳	cef, perempuan, ton kulit sederhana gelap, tukang masak, tukang masak wanita, tukang masak wanita: ton kulit sederhana gelap, wanita
👩🏿‍🍳	cef, perempuan, ton kulit gelap, tukang masak, tukang masak wanita, tukang masak wanita: ton kulit gelap, wanita
👨‍🔧	juruelektrik, lelaki, mekanik, mekanik lelaki, tukang, tukang paip
👨🏻‍🔧	juruelektrik, lelaki, mekanik, mekanik lelaki: ton kulit cerah, ton kulit cerah, tukang, tukang paip
👨🏼‍🔧	juruelektrik, lelaki, mekanik, mekanik lelaki: ton kulit sederhana cerah, ton kulit sederhana cerah, tukang, tukang paip
👨🏽‍🔧	juruelektrik, lelaki, mekanik, mekanik lelaki: ton kulit sederhana, ton kulit sederhana, tukang, tukang paip
👨🏾‍🔧	juruelektrik, lelaki, mekanik, mekanik lelaki: ton kulit sederhana gelap, ton kulit sederhana gelap, tukang, tukang paip
👨🏿‍🔧	juruelektrik, lelaki, mekanik, mekanik lelaki: ton kulit gelap, ton kulit gelap, tukang, tukang paip
👩‍🔧	juruelektrik, mekanik, mekanik wanita, perempuan, tukang, tukang paip, wanita
👩🏻‍🔧	juruelektrik, mekanik, mekanik wanita: ton kulit cerah, perempuan, ton kulit cerah, tukang, tukang paip, wanita
👩🏼‍🔧	juruelektrik, mekanik, mekanik wanita: ton kulit sederhana cerah, perempuan, ton kulit sederhana cerah, tukang, tukang paip, wanita
👩🏽‍🔧	juruelektrik, mekanik, mekanik wanita: ton kulit sederhana, perempuan, ton kulit sederhana, tukang, tukang paip, wanita
👩🏾‍🔧	juruelektrik, mekanik, mekanik wanita: ton kulit sederhana gelap, perempuan, ton kulit sederhana gelap, tukang, tukang paip, wanita
👩🏿‍🔧	juruelektrik, mekanik, mekanik wanita: ton kulit gelap, perempuan, ton kulit gelap, tukang, tukang paip, wanita
👨‍🏭	industri, kilang, lelaki, pekerja, pekerja kilang lelaki, pemasangan
👨🏻‍🏭	industri, kilang, lelaki, pekerja, pekerja kilang lelaki: ton kulit cerah, pemasangan, ton kulit cerah
👨🏼‍🏭	industri, kilang, lelaki, pekerja, pekerja kilang lelaki: ton kulit sederhana cerah, pemasangan, ton kulit sederhana cerah
👨🏽‍🏭	industri, kilang, lelaki, pekerja, pekerja kilang lelaki: ton kulit sederhana, pemasangan, ton kulit sederhana
👨🏾‍🏭	industri, kilang, lelaki, pekerja, pekerja kilang lelaki: ton kulit sederhana gelap, pemasangan, ton kulit sederhana gelap
👨🏿‍🏭	industri, kilang, lelaki, pekerja, pekerja kilang lelaki: ton kulit gelap, pemasangan, ton kulit gelap
👩‍🏭	industri, kilang, pekerja, pekerja kilang wanita, pemasangan, perempuan, wanita
👩🏻‍🏭	industri, kilang, pekerja, pekerja kilang wanita: ton kulit cerah, pemasangan, perempuan, ton kulit cerah, wanita
👩🏼‍🏭	industri, kilang, pekerja, pekerja kilang wanita: ton kulit sederhana cerah, pemasangan, perempuan, ton kulit sederhana cerah, wanita
👩🏽‍🏭	industri, kilang, pekerja, pekerja kilang wanita: ton kulit sederhana, pemasangan, perempuan, ton kulit sederhana, wanita
👩🏾‍🏭	industri, kilang, pekerja, pekerja kilang wanita: ton kulit sederhana gelap, pemasangan, perempuan, ton kulit sederhana gelap, wanita
👩🏿‍🏭	industri, kilang, pekerja, pekerja kilang wanita: ton kulit gelap, pemasangan, perempuan, ton kulit gelap, wanita
👨‍💼	arkitek, kolar putih, lelaki, pejabat, pekerja pejabat lelaki, pengurus, perniagaan
👨🏻‍💼	arkitek, kolar putih, lelaki, pejabat, pekerja pejabat lelaki, pekerja pejabat lelaki: ton kulit cerah, pengurus, perniagaan, ton kulit cerah
👨🏼‍💼	arkitek, kolar putih, lelaki, pejabat, pekerja pejabat lelaki, pekerja pejabat lelaki: ton kulit sederhana cerah, pengurus, perniagaan, ton kulit sederhana cerah
👨🏽‍💼	arkitek, kolar putih, lelaki, pejabat, pekerja pejabat lelaki, pekerja pejabat lelaki: ton kulit sederhana, pengurus, perniagaan, ton kulit sederhana
👨🏾‍💼	arkitek, kolar putih, lelaki, pejabat, pekerja pejabat lelaki, pekerja pejabat lelaki: ton kulit sederhana gelap, pengurus, perniagaan, ton kulit sederhana gelap
👨🏿‍💼	arkitek, kolar putih, lelaki, pejabat, pekerja pejabat lelaki, pekerja pejabat lelaki: ton kulit gelap, pengurus, perniagaan, ton kulit gelap
👩‍💼	kolar putih, pekerja pejabat wanita, pengurus, urus niaga, wanita
👩🏻‍💼	kolar putih, pekerja pejabat wanita, pekerja pejabat wanita: ton kulit cerah, pengurus, ton kulit cerah, urus niaga, wanita
👩🏼‍💼	kolar putih, pekerja pejabat wanita, pekerja pejabat wanita: ton kulit sederhana cerah, pengurus, ton kulit sederhana cerah, urus niaga, wanita
👩🏽‍💼	kolar putih, pekerja pejabat wanita, pekerja pejabat wanita: ton kulit sederhana, pengurus, ton kulit sederhana, urus niaga, wanita
👩🏾‍💼	kolar putih, pekerja pejabat wanita, pekerja pejabat wanita: ton kulit sederhana gelap, pengurus, ton kulit sederhana gelap, urus niaga, wanita
👩🏿‍💼	kolar putih, pekerja pejabat wanita, pekerja pejabat wanita: ton kulit gelap, pengurus, ton kulit gelap, urus niaga, wanita
👨‍🔬	ahli biologi, ahli fizik, ahli kimia, ahli matematik, jurutera, lelaki, saintis, saintis lelaki
👨🏻‍🔬	ahli biologi, ahli fizik, ahli kimia, ahli matematik, jurutera, lelaki, saintis, saintis lelaki: ton kulit cerah, ton kulit cerah
👨🏼‍🔬	ahli biologi, ahli fizik, ahli kimia, ahli matematik, jurutera, lelaki, saintis, saintis lelaki: ton kulit sederhana cerah, ton kulit sederhana cerah
👨🏽‍🔬	ahli biologi, ahli fizik, ahli kimia, ahli matematik, jurutera, lelaki, saintis, saintis lelaki: ton kulit sederhana, ton kulit sederhana
👨🏾‍🔬	ahli biologi, ahli fizik, ahli kimia, ahli matematik, jurutera, lelaki, saintis, saintis lelaki: ton kulit sederhana gelap, ton kulit sederhana gelap
👨🏿‍🔬	ahli biologi, ahli fizik, ahli kimia, ahli matematik, jurutera, lelaki, saintis, saintis lelaki: ton kulit gelap, ton kulit gelap
👩‍🔬	ahli biologi, ahli fizik, ahli kimia, saintis, saintis wanita, wanita
👩🏻‍🔬	ahli biologi, ahli fizik, ahli kimia, saintis, saintis wanita: ton kulit cerah, ton kulit cerah, wanita
👩🏼‍🔬	ahli biologi, ahli fizik, ahli kimia, saintis, saintis wanita: ton kulit sederhana cerah, ton kulit sederhana cerah, wanita
👩🏽‍🔬	ahli biologi, ahli fizik, ahli kimia, saintis, saintis wanita: ton kulit sederhana, ton kulit sederhana, wanita
👩🏾‍🔬	ahli biologi, ahli fizik, ahli kimia, saintis, saintis wanita: ton kulit sederhana gelap, ton kulit sederhana gelap, wanita
👩🏿‍🔬	ahli biologi, ahli fizik, ahli kimia, saintis, saintis wanita: ton kulit gelap, ton kulit gelap, wanita
👨‍💻	ahli teknologi, ahli teknologi lelaki, lelaki, pembangun, pencipta, pengekod, perisian
👨🏻‍💻	ahli teknologi, ahli teknologi lelaki, ahli teknologi lelaki: ton kulit cerah, lelaki, pembangun, pencipta, pengekod, perisian, ton kulit cerah
👨🏼‍💻	ahli teknologi, ahli teknologi lelaki, ahli teknologi lelaki: ton kulit sederhana cerah, lelaki, pembangun, pencipta, pengekod, perisian, ton kulit sederhana cerah
👨🏽‍💻	ahli teknologi, ahli teknologi lelaki, ahli teknologi lelaki: ton kulit sederhana, lelaki, pembangun, pencipta, pengekod, perisian, ton kulit sederhana
👨🏾‍💻	ahli teknologi, ahli teknologi lelaki, ahli teknologi lelaki: ton kulit sederhana gelap, lelaki, pembangun, pencipta, pengekod, perisian, ton kulit sederhana gelap
👨🏿‍💻	ahli teknologi, ahli teknologi lelaki, ahli teknologi lelaki: ton kulit gelap, lelaki, pembangun, pencipta, pengekod, perisian, ton kulit gelap
👩‍💻	ahli teknologi, ahli teknologi wanita, pembangun, pencipta, pengekod, wanita
👩🏻‍💻	ahli teknologi, ahli teknologi wanita, ahli teknologi wanita: ton kulit cerah, pembangun, pencipta, pengekod, ton kulit cerah, wanita
👩🏼‍💻	ahli teknologi, ahli teknologi wanita, ahli teknologi wanita: ton kulit sederhana cerah, pembangun, pencipta, pengekod, ton kulit sederhana cerah, wanita
👩🏽‍💻	ahli teknologi, ahli teknologi wanita, ahli teknologi wanita: ton kulit sederhana, pembangun, pencipta, pengekod, ton kulit sederhana, wanita
👩🏾‍💻	ahli teknologi, ahli teknologi wanita, ahli teknologi wanita: ton kulit sederhana gelap, pembangun, pencipta, pengekod, ton kulit sederhana gelap, wanita
👩🏿‍💻	ahli teknologi, ahli teknologi wanita, ahli teknologi wanita: ton kulit gelap, pembangun, pencipta, pengekod, ton kulit gelap, wanita
👨‍🎤	bintang, lelaki, pelakon, penghibur, penyanyi, penyanyi lelaki, rock
👨🏻‍🎤	bintang, lelaki, pelakon, penghibur, penyanyi, penyanyi lelaki: ton kulit cerah, rock, ton kulit cerah
👨🏼‍🎤	bintang, lelaki, pelakon, penghibur, penyanyi, penyanyi lelaki: ton kulit sederhana cerah, rock, ton kulit sederhana cerah
👨🏽‍🎤	bintang, lelaki, pelakon, penghibur, penyanyi, penyanyi lelaki: ton kulit sederhana, rock, ton kulit sederhana
👨🏾‍🎤	bintang, lelaki, pelakon, penghibur, penyanyi, penyanyi lelaki: ton kulit sederhana gelap, rock, ton kulit sederhana gelap
👨🏿‍🎤	bintang, lelaki, pelakon, penghibur, penyanyi, penyanyi lelaki: ton kulit gelap, rock, ton kulit gelap
👩‍🎤	bintang, pelakon, penghibur, penyanyi, penyanyi wanita, perempuan, rock, wanita
👩🏻‍🎤	bintang, pelakon, penghibur, penyanyi, penyanyi wanita: ton kulit cerah, perempuan, rock, ton kulit cerah, wanita
👩🏼‍🎤	bintang, pelakon, penghibur, penyanyi, penyanyi wanita: ton kulit sederhana cerah, perempuan, rock, ton kulit sederhana cerah, wanita
👩🏽‍🎤	bintang, pelakon, penghibur, penyanyi, penyanyi wanita: ton kulit sederhana, perempuan, rock, ton kulit sederhana, wanita
👩🏾‍🎤	bintang, pelakon, penghibur, penyanyi, penyanyi wanita: ton kulit sederhana gelap, perempuan, rock, ton kulit sederhana gelap, wanita
👩🏿‍🎤	bintang, pelakon, penghibur, penyanyi, penyanyi wanita: ton kulit gelap, perempuan, rock, ton kulit gelap, wanita
👨‍🎨	artis, lelaki, palet, pelukis lelaki
👨🏻‍🎨	artis, lelaki, palet, pelukis lelaki, pelukis lelaki: ton kulit cerah, ton kulit cerah
👨🏼‍🎨	artis, lelaki, palet, pelukis lelaki, pelukis lelaki: ton kulit sederhana cerah, ton kulit sederhana cerah
👨🏽‍🎨	artis, lelaki, palet, pelukis lelaki, pelukis lelaki: ton kulit sederhana, ton kulit sederhana
👨🏾‍🎨	artis, lelaki, palet, pelukis lelaki, pelukis lelaki: ton kulit sederhana gelap, ton kulit sederhana gelap
👨🏿‍🎨	artis, lelaki, palet, pelukis lelaki, pelukis lelaki: ton kulit gelap, ton kulit gelap
👩‍🎨	artis, palet, pelukis wanita, perempuan, wanita
👩🏻‍🎨	artis, palet, pelukis wanita, pelukis wanita: ton kulit cerah, perempuan, ton kulit cerah, wanita
👩🏼‍🎨	artis, palet, pelukis wanita, pelukis wanita: ton kulit sederhana cerah, perempuan, ton kulit sederhana cerah, wanita
👩🏽‍🎨	artis, palet, pelukis wanita, pelukis wanita: ton kulit sederhana, perempuan, ton kulit sederhana, wanita
👩🏾‍🎨	artis, palet, pelukis wanita, pelukis wanita: ton kulit sederhana gelap, perempuan, ton kulit sederhana gelap, wanita
👩🏿‍🎨	artis, palet, pelukis wanita, pelukis wanita: ton kulit gelap, perempuan, ton kulit gelap, wanita
👨‍✈	juruterbang, juruterbang lelaki, kapal terbang, lelaki
👨🏻‍✈	juruterbang, juruterbang lelaki: ton kulit cerah, kapal terbang, lelaki, ton kulit cerah
👨🏼‍✈	juruterbang, juruterbang lelaki: ton kulit sederhana cerah, kapal terbang, lelaki, ton kulit sederhana cerah
👨🏽‍✈	juruterbang, juruterbang lelaki: ton kulit sederhana, kapal terbang, lelaki, ton kulit sederhana
👨🏾‍✈	juruterbang, juruterbang lelaki: ton kulit sederhana gelap, kapal terbang, lelaki, ton kulit sederhana gelap
👨🏿‍✈	juruterbang, juruterbang lelaki: ton kulit gelap, kapal terbang, lelaki, ton kulit gelap
👩‍✈	juruterbang, juruterbang wanita, kapal terbang, perempuan, wanita
👩🏻‍✈	juruterbang, juruterbang wanita: ton kulit cerah, kapal terbang, perempuan, ton kulit cerah, wanita
👩🏼‍✈	juruterbang, juruterbang wanita: ton kulit sederhana cerah, kapal terbang, perempuan, ton kulit sederhana cerah, wanita
👩🏽‍✈	juruterbang, juruterbang wanita: ton kulit sederhana, kapal terbang, perempuan, ton kulit sederhana, wanita
👩🏾‍✈	juruterbang, juruterbang wanita: ton kulit sederhana gelap, kapal terbang, perempuan, ton kulit sederhana gelap, wanita
👩🏿‍✈	juruterbang, juruterbang wanita: ton kulit gelap, kapal terbang, perempuan, ton kulit gelap, wanita
👨‍🚀	angkasawan, lelaki, roket
👨🏻‍🚀	angkasawan, angkasawan: ton kulit cerah, lelaki, roket, ton kulit cerah
👨🏼‍🚀	angkasawan, angkasawan: ton kulit sederhana cerah, lelaki, roket, ton kulit sederhana cerah
👨🏽‍🚀	angkasawan, angkasawan: ton kulit sederhana, lelaki, roket, ton kulit sederhana
👨🏾‍🚀	angkasawan, angkasawan: ton kulit sederhana gelap, lelaki, roket, ton kulit sederhana gelap
👨🏿‍🚀	angkasawan, angkasawan: ton kulit gelap, lelaki, roket, ton kulit gelap
👩‍🚀	angkasawati, perempuan, roket, wanita
👩🏻‍🚀	angkasawati, angkasawati: ton kulit cerah, perempuan, roket, ton kulit cerah, wanita
👩🏼‍🚀	angkasawati, angkasawati: ton kulit sederhana cerah, perempuan, roket, ton kulit sederhana cerah, wanita
👩🏽‍🚀	angkasawati, angkasawati: ton kulit sederhana, perempuan, roket, ton kulit sederhana, wanita
👩🏾‍🚀	angkasawati, angkasawati: ton kulit sederhana gelap, perempuan, roket, ton kulit sederhana gelap, wanita
👩🏿‍🚀	angkasawati, angkasawati: ton kulit gelap, perempuan, roket, ton kulit gelap, wanita
👨‍🚒	ahli bomba, ahli bomba lelaki, lelaki, trak bomba
👨🏻‍🚒	ahli bomba, ahli bomba lelaki, ahli bomba lelaki: ton kulit cerah, lelaki, ton kulit cerah, trak bomba
👨🏼‍🚒	ahli bomba, ahli bomba lelaki, ahli bomba lelaki: ton kulit sederhana cerah, lelaki, ton kulit sederhana cerah, trak bomba
👨🏽‍🚒	ahli bomba, ahli bomba lelaki, ahli bomba lelaki: ton kulit sederhana, lelaki, ton kulit sederhana, trak bomba
👨🏾‍🚒	ahli bomba, ahli bomba lelaki, ahli bomba lelaki: ton kulit sederhana gelap, lelaki, ton kulit sederhana gelap, trak bomba
👨🏿‍🚒	ahli bomba, ahli bomba lelaki, ahli bomba lelaki: ton kulit gelap, lelaki, ton kulit gelap, trak bomba
👩‍🚒	ahli bomba, ahli bomba wanita, perempuan, trak bomba, wanita
👩🏻‍🚒	ahli bomba, ahli bomba wanita, ahli bomba wanita: ton kulit cerah, perempuan, ton kulit cerah, trak bomba, wanita
👩🏼‍🚒	ahli bomba, ahli bomba wanita, ahli bomba wanita: ton kulit sederhana cerah, perempuan, ton kulit sederhana cerah, trak bomba, wanita
👩🏽‍🚒	ahli bomba, ahli bomba wanita, ahli bomba wanita: ton kulit sederhana, perempuan, ton kulit sederhana, trak bomba, wanita
👩🏾‍🚒	ahli bomba, ahli bomba wanita, ahli bomba wanita: ton kulit sederhana gelap, perempuan, ton kulit sederhana gelap, trak bomba, wanita
👩🏿‍🚒	ahli bomba, ahli bomba wanita, ahli bomba wanita: ton kulit gelap, perempuan, ton kulit gelap, trak bomba, wanita
👮	mata-mata, pegawai, pegawai polis, polis
👮🏻	mata-mata, pegawai, pegawai polis: ton kulit cerah, polis, ton kulit cerah
👮🏼	mata-mata, pegawai, pegawai polis: ton kulit sederhana cerah, polis, ton kulit sederhana cerah
👮🏽	mata-mata, pegawai, pegawai polis: ton kulit sederhana, polis, ton kulit sederhana
👮🏾	mata-mata, pegawai, pegawai polis: ton kulit sederhana gelap, polis, ton kulit sederhana gelap
👮🏿	mata-mata, pegawai, pegawai polis: ton kulit gelap, polis, ton kulit gelap
👮‍♂	lelaki, pegawai polis lelaki, polis
👮🏻‍♂	lelaki, pegawai polis lelaki, pegawai polis lelaki: ton kulit cerah, polis, ton kulit cerah
👮🏼‍♂	lelaki, pegawai polis lelaki, pegawai polis lelaki: ton kulit sederhana cerah, polis, ton kulit sederhana cerah
👮🏽‍♂	lelaki, pegawai polis lelaki, pegawai polis lelaki: ton kulit sederhana, polis, ton kulit sederhana
