😀	sourire, visage rieur
🙋🏿	content, geste, levée, main, peau foncée, personne qui lève la main, personne qui lève la main : peau foncée
🙋‍♂	geste, homme, homme qui lève la main, main levée
🙋🏻‍♂	geste, homme, homme qui lève la main, homme qui lève la main : peau claire, main levée, peau claire
🙋🏼‍♂	geste, homme, homme qui lève la main, homme qui lève la main : peau moyennement claire, main levée, peau moyennement claire
🙋🏽‍♂	geste, homme, homme qui lève la main, homme qui lève la main : peau légèrement mate, main levée, peau légèrement mate
🙋🏾‍♂	geste, homme, homme qui lève la main, homme qui lève la main : peau mate, main levée, peau mate
🙋🏿‍♂	geste, homme, homme qui lève la main, homme qui lève la main : peau foncée, main levée, peau foncée
🙋‍♀	femme, femme qui lève la main, geste, main levée
🙋🏻‍♀	femme, femme qui lève la main, femme qui lève la main : peau claire, geste, main levée, peau claire
🙋🏼‍♀	femme, femme qui lève la main, femme qui lève la main : peau moyennement claire, geste, main levée, peau moyennement claire
🙋🏽‍♀	femme, femme qui lève la main, femme qui lève la main : peau légèrement mate, geste, main levée, peau légèrement mate
🙋🏾‍♀	femme, femme qui lève la main, femme qui lève la main : peau mate, geste, main levée, peau mate
🙋🏿‍♀	femme, femme qui lève la main, femme qui lève la main : peau foncée, geste, main levée, peau foncée
🧏	accessibilité, entendre, malentendant, oreille, personne sourde, sourd
🧏🏻	accessibilité, entendre, malentendant, oreille, peau claire, personne sourde, personne sourde : peau claire, sourd
🧏🏼	accessibilité, entendre, malentendant, oreille, peau moyennement claire, personne sourde, personne sourde : peau moyennement claire, sourd
🧏🏽	accessibilité, entendre, malentendant, oreille, peau légèrement mate, personne sourde, personne sourde : peau légèrement mate, sourd
🧏🏾	accessibilité, entendre, malentendant, oreille, peau mate, personne sourde, personne sourde : peau mate, sourd
🧏🏿	accessibilité, entendre, malentendant, oreille, peau foncée, personne sourde, personne sourde : peau foncée, sourd
🧏‍♂	accessibilité, entendre, homme sourd, malentendant, oreille, sourd
🧏🏻‍♂	accessibilité, entendre, homme sourd, homme sourd : peau claire, malentendant, oreille, peau claire, sourd
🧏🏼‍♂	accessibilité, entendre, homme sourd, homme sourd : peau moyennement claire, malentendant, oreille, peau moyennement claire, sourd
🧏🏽‍♂	accessibilité, entendre, homme sourd, homme sourd : peau légèrement mate, malentendant, oreille, peau légèrement mate, sourd
🧏🏾‍♂	accessibilité, entendre, homme sourd, homme sourd : peau mate, malentendant, oreille, peau mate, sourd
🧏🏿‍♂	accessibilité, entendre, homme sourd, homme sourd : peau foncée, malentendant, oreille, peau foncée, sourd
🧏‍♀	accessibilité, entendre, femme sourde, malentendant, oreille, sourd
🧏🏻‍♀	accessibilité, entendre, femme sourde, femme sourde : peau claire, malentendant, oreille, peau claire, sourd
🧏🏼‍♀	accessibilité, entendre, femme sourde, femme sourde : peau moyennement claire, malentendant, oreille, peau moyennement claire, sourd
🧏🏽‍♀	accessibilité, entendre, femme sourde, femme sourde : peau légèrement mate, malentendant, oreille, peau légèrement mate, sourd
🧏🏾‍♀	accessibilité, entendre, femme sourde, femme sourde : peau mate, malentendant, oreille, peau mate, sourd
🧏🏿‍♀	accessibilité, entendre, femme sourde, femme sourde : peau foncée, malentendant, oreille, peau foncée, sourd
🙇	désolé, geste, incliné, personne qui s’incline
🙇🏻	désolé, geste, incliné, peau claire, personne qui s’incline, personne qui s’incline : peau claire
🙇🏼	désolé, geste, incliné, peau moyennement claire, personne qui s’incline, personne qui s’incline : peau moyennement claire
🙇🏽	désolé, geste, incliné, peau légèrement mate, personne qui s’incline, personne qui s’incline : peau légèrement mate
🙇🏾	désolé, geste, incliné, peau mate, personne qui s’incline, personne qui s’incline : peau mate
🙇🏿	désolé, geste, incliné, peau foncée, personne qui s’incline, personne qui s’incline : peau foncée
🙇‍♂	désolé, geste, homme, homme qui s’incline, incliné
🙇🏻‍♂	désolé, geste, homme, homme qui s’incline, homme qui s’incline : peau claire, incliné, peau claire
🙇🏼‍♂	désolé, geste, homme, homme qui s’incline, homme qui s’incline : peau moyennement claire, incliné, peau moyennement claire
🙇🏽‍♂	désolé, geste, homme, homme qui s’incline, homme qui s’incline : peau légèrement mate, incliné, peau légèrement mate
🙇🏾‍♂	désolé, geste, homme, homme qui s’incline, homme qui s’incline : peau mate, incliné, peau mate
🙇🏿‍♂	désolé, geste, homme, homme qui s’incline, homme qui s’incline : peau foncée, incliné, peau foncée
🙇‍♀	désolée, femme, femme qui s’incline, geste, inclinée
🙇🏻‍♀	désolée, femme, femme qui s’incline, femme qui s’incline : peau claire, geste, inclinée, peau claire
🙇🏼‍♀	désolée, femme, femme qui s’incline, femme qui s’incline : peau moyennement claire, geste, inclinée, peau moyennement claire
🙇🏽‍♀	désolée, femme, femme qui s’incline, femme qui s’incline : peau légèrement mate, geste, inclinée, peau légèrement mate
🙇🏾‍♀	désolée, femme, femme qui s’incline, femme qui s’incline : peau mate, geste, inclinée, peau mate
🙇🏿‍♀	désolée, femme, femme qui s’incline, femme qui s’incline : peau foncée, geste, inclinée, peau foncée
🤦	exaspération, incrédulité, paume de main, personne avec la paume sur le visage, visage
🤦🏻	exaspération, incrédulité, paume de main, peau claire, personne avec la paume sur le visage, personne avec la paume sur le visage : peau claire, visage
🤦🏼	exaspération, incrédulité, paume de main, peau moyennement claire, personne avec la paume sur le visage, personne avec la paume sur le visage : peau moyennement claire, visage
🤦🏽	exaspération, incrédulité, paume de main, peau légèrement mate, personne avec la paume sur le visage, personne avec la paume sur le visage : peau légèrement mate, visage
🤦🏾	exaspération, incrédulité, paume de main, peau mate, personne avec la paume sur le visage, personne avec la paume sur le visage : peau mate, visage
🤦🏿	exaspération, incrédulité, paume de main, peau foncée, personne avec la paume sur le visage, personne avec la paume sur le visage : peau foncée, visage
🤦‍♂	exaspération, homme, homme avec la paume sur le visage, incrédulité, paume
🤦🏻‍♂	exaspération, homme, homme avec la paume sur le visage, homme avec la paume sur le visage : peau claire, incrédulité, paume, peau claire
🤦🏼‍♂	exaspération, homme, homme avec la paume sur le visage, homme avec la paume sur le visage : peau moyennement claire, incrédulité, paume, peau moyennement claire
🤦🏽‍♂	exaspération, homme, homme avec la paume sur le visage, homme avec la paume sur le visage : peau légèrement mate, incrédulité, paume, peau légèrement mate
🤦🏾‍♂	exaspération, homme, homme avec la paume sur le visage, homme avec la paume sur le visage : peau mate, incrédulité, paume, peau mate
🤦🏿‍♂	exaspération, homme, homme avec la paume sur le visage, homme avec la paume sur le visage : peau foncée, incrédulité, paume, peau foncée
🤦‍♀	exaspération, femme, femme avec la paume sur le visage, incrédulité, paume
🤦🏻‍♀	exaspération, femme, femme avec la paume sur le visage, femme avec la paume sur le visage : peau claire, incrédulité, paume, peau claire
🤦🏼‍♀	exaspération, femme, femme avec la paume sur le visage, femme avec la paume sur le visage : peau moyennement claire, incrédulité, paume, peau moyennement claire
🤦🏽‍♀	exaspération, femme, femme avec la paume sur le visage, femme avec la paume sur le visage : peau légèrement mate, incrédulité, paume, peau légèrement mate
🤦🏾‍♀	exaspération, femme, femme avec la paume sur le visage, femme avec la paume sur le visage : peau mate, incrédulité, paume, peau mate
🤦🏿‍♀	exaspération, femme, femme avec la paume sur le visage, femme avec la paume sur le visage : peau foncée, incrédulité, paume, peau foncée
🤷	doute, haussement d’épaules, ignorance, indifférence, personne qui hausse les épaules
🤷🏻	doute, haussement d’épaules, ignorance, indifférence, peau claire, personne qui hausse les épaules, personne qui hausse les épaules : peau claire
🤷🏼	doute, haussement d’épaules, ignorance, indifférence, peau moyennement claire, personne qui hausse les épaules, personne qui hausse les épaules : peau moyennement claire
🤷🏽	doute, haussement d’épaules, ignorance, indifférence, peau légèrement mate, personne qui hausse les épaules, personne qui hausse les épaules : peau légèrement mate
🤷🏾	doute, haussement d’épaules, ignorance, indifférence, peau mate, personne qui hausse les épaules, personne qui hausse les épaules : peau mate
🤷🏿	doute, haussement d’épaules, ignorance, indifférence, peau foncée, personne qui hausse les épaules, personne qui hausse les épaules : peau foncée
🤷‍♂	haussement, homme, homme qui hausse les épaules, ignorance, indifférence
🤷🏻‍♂	haussement, homme, homme qui hausse les épaules, homme qui hausse les épaules : peau claire, ignorance, indifférence, peau claire
🤷🏼‍♂	haussement, homme, homme qui hausse les épaules, homme qui hausse les épaules : peau moyennement claire, ignorance, indifférence, peau moyennement claire
🤷🏽‍♂	haussement, homme, homme qui hausse les épaules, homme qui hausse les épaules : peau légèrement mate, ignorance, indifférence, peau légèrement mate
🤷🏾‍♂	haussement, homme, homme qui hausse les épaules, homme qui hausse les épaules : peau mate, ignorance, indifférence, peau mate
🤷🏿‍♂	haussement, homme, homme qui hausse les épaules, homme qui hausse les épaules : peau foncée, ignorance, indifférence, peau foncée
🤷‍♀	femme, femme qui hausse les épaules, haussement, ignorance, indifférence
🤷🏻‍♀	femme, femme qui hausse les épaules, femme qui hausse les épaules : peau claire, haussement, ignorance, indifférence, peau claire
🤷🏼‍♀	femme, femme qui hausse les épaules, femme qui hausse les épaules : peau moyennement claire, haussement, ignorance, indifférence, peau moyennement claire
🤷🏽‍♀	femme, femme qui hausse les épaules, femme qui hausse les épaules : peau légèrement mate, haussement, ignorance, indifférence, peau légèrement mate
🤷🏾‍♀	femme, femme qui hausse les épaules, femme qui hausse les épaules : peau mate, haussement, ignorance, indifférence, peau mate
🤷🏿‍♀	femme, femme qui hausse les épaules, femme qui hausse les épaules : peau foncée, haussement, ignorance, indifférence, peau foncée
👨‍⚕	docteur, homme, infirmier, professionnel de la santé, santé
👨🏻‍⚕	docteur, homme, infirmier, peau claire, professionnel de la santé, professionnel de la santé : peau claire, santé
👨🏼‍⚕	docteur, homme, infirmier, peau moyennement claire, professionnel de la santé, professionnel de la santé : peau moyennement claire, santé
👨🏽‍⚕	docteur, homme, infirmier, peau légèrement mate, professionnel de la santé, professionnel de la santé : peau légèrement mate, santé
👨🏾‍⚕	docteur, homme, infirmier, peau mate, professionnel de la santé, professionnel de la santé : peau mate, santé
👨🏿‍⚕	docteur, homme, infirmier, peau foncée, professionnel de la santé, professionnel de la santé : peau foncée, santé
👩‍⚕	docteur, femme, infirmière, professionnelle de la santé, santé
👩🏻‍⚕	docteur, femme, infirmière, peau claire, professionnelle de la santé, professionnelle de la santé : peau claire, santé
👩🏼‍⚕	docteur, femme, infirmière, peau moyennement claire, professionnelle de la santé, professionnelle de la santé : peau moyennement claire, santé
👩🏽‍⚕	docteur, femme, infirmière, peau légèrement mate, professionnelle de la santé, professionnelle de la santé : peau légèrement mate, santé
👩🏾‍⚕	docteur, femme, infirmière, peau mate, professionnelle de la santé, professionnelle de la santé : peau mate, santé
👩🏿‍⚕	docteur, femme, infirmière, peau foncée, professionnelle de la santé, professionnelle de la santé : peau foncée, santé
👨‍🎓	diplômé, homme, étudiant
👨🏻‍🎓	diplômé, homme, peau claire, étudiant, étudiant : peau claire
👨🏼‍🎓	diplômé, homme, peau moyennement claire, étudiant, étudiant : peau moyennement claire
👨🏽‍🎓	diplômé, homme, peau légèrement mate, étudiant, étudiant : peau légèrement mate
👨🏾‍🎓	diplômé, homme, peau mate, étudiant, étudiant : peau mate
👨🏿‍🎓	diplômé, homme, peau foncée, étudiant, étudiant : peau foncée
👩‍🎓	diplômée, femme, étudiante
👩🏻‍🎓	diplômée, femme, peau claire, étudiante, étudiante : peau claire
👩🏼‍🎓	diplômée, femme, peau moyennement claire, étudiante, étudiante : peau moyennement claire
👩🏽‍🎓	diplômée, femme, peau légèrement mate, étudiante, étudiante : peau légèrement mate
👩🏾‍🎓	diplômée, femme, peau mate, étudiante, étudiante : peau mate
👩🏿‍🎓	diplômée, femme, peau foncée, étudiante, étudiante : peau foncée
👨‍🏫	enseignant, homme, instituteur, instructeur, professeur
👨🏻‍🏫	enseignant, enseignant : peau claire, homme, instituteur, instructeur, peau claire, professeur
👨🏼‍🏫	enseignant, enseignant : peau moyennement claire, homme, instituteur, instructeur, peau moyennement claire, professeur
👨🏽‍🏫	enseignant, enseignant : peau légèrement mate, homme, instituteur, instructeur, peau légèrement mate, professeur
👨🏾‍🏫	enseignant, enseignant : peau mate, homme, instituteur, instructeur, peau mate, professeur
👨🏿‍🏫	enseignant, enseignant : peau foncée, homme, instituteur, instructeur, peau foncée, professeur
👩‍🏫	enseignante, femme, institutrice, instructrice, professeure
👩🏻‍🏫	enseignante, enseignante : peau claire, femme, institutrice, instructrice, peau claire, professeure
👩🏼‍🏫	enseignante, enseignante : peau moyennement claire, femme, institutrice, instructrice, peau moyennement claire, professeure
👩🏽‍🏫	enseignante, enseignante : peau légèrement mate, femme, institutrice, instructrice, peau légèrement mate, professeure
👩🏾‍🏫	enseignante, enseignante : peau mate, femme, institutrice, instructrice, peau mate, professeure
👩🏿‍🏫	enseignante, enseignante : peau foncée, femme, institutrice, instructrice, peau foncée, professeure
👨‍⚖	balance, homme, juge homme, justice
👨🏻‍⚖	balance, homme, juge homme, juge homme : peau claire, justice, peau claire
👨🏼‍⚖	balance, homme, juge homme, juge homme : peau moyennement claire, justice, peau moyennement claire
👨🏽‍⚖	balance, homme, juge homme, juge homme : peau légèrement mate, justice, peau légèrement mate
👨🏾‍⚖	balance, homme, juge homme, juge homme : peau mate, justice, peau mate
👨🏿‍⚖	balance, homme, juge homme, juge homme : peau foncée, justice, peau foncée
👩‍⚖	balance, femme, juge, juge femme
👩🏻‍⚖	balance, femme, juge, juge femme : peau claire, peau claire
👩🏼‍⚖	balance, femme, juge, juge femme : peau moyennement claire, peau moyennement claire
👩🏽‍⚖	balance, femme, juge, juge femme : peau légèrement mate, peau légèrement mate
👩🏾‍⚖	balance, femme, juge, juge femme : peau mate, peau mate
👩🏿‍⚖	balance, femme, juge, juge femme : peau foncée, peau foncée
👨‍🌾	agriculteur, fermier, homme, jardinier
👨🏻‍🌾	agriculteur, fermier, fermier : peau claire, homme, jardinier, peau claire
👨🏼‍🌾	agriculteur, fermier, fermier : peau moyennement claire, homme, jardinier, peau moyennement claire
👨🏽‍🌾	agriculteur, fermier, fermier : peau légèrement mate, homme, jardinier, peau légèrement mate
👨🏾‍🌾	agriculteur, fermier, fermier : peau mate, homme, jardinier, peau mate
👨🏿‍🌾	agriculteur, fermier, fermier : peau foncée, homme, jardinier, peau foncée
👩‍🌾	agricultrice, femme, fermière, jardinière
👩🏻‍🌾	agricultrice, femme, fermière, fermière : peau claire, jardinière, peau claire
👩🏼‍🌾	agricultrice, femme, fermière, fermière : peau moyennement claire, jardinière, peau moyennement claire
👩🏽‍🌾	agricultrice, femme, fermière, fermière : peau légèrement mate, jardinière, peau légèrement mate
👩🏾‍🌾	agricultrice, femme, fermière, fermière : peau mate, jardinière, peau mate
👩🏿‍🌾	agricultrice, femme, fermière, fermière : peau foncée, jardinière, peau foncée
👨‍🍳	chef, cuisinier, homme
👨🏻‍🍳	chef, cuisinier, cuisinier : peau claire, homme, peau claire
👨🏼‍🍳	chef, cuisinier, cuisinier : peau moyennement claire, homme, peau moyennement claire
👨🏽‍🍳	chef, cuisinier, cuisinier : peau légèrement mate, homme, peau légèrement mate
👨🏾‍🍳	chef, cuisinier, cuisinier : peau mate, homme, peau mate
👨🏿‍🍳	chef, cuisinier, cuisinier : peau foncée, homme, peau foncée
👩‍🍳	chef, cuisinière, femme
👩🏻‍🍳	chef, cuisinière, cuisinière : peau claire, femme, peau claire
👩🏼‍🍳	chef, cuisinière, cuisinière : peau moyennement claire, femme, peau moyennement claire
👩🏽‍🍳	chef, cuisinière, cuisinière : peau légèrement mate, femme, peau légèrement mate
👩🏾‍🍳	chef, cuisinière, cuisinière : peau mate, femme, peau mate
👩🏿‍🍳	chef, cuisinière, cuisinière : peau foncée, femme, peau foncée
👨‍🔧	homme, mécanicien, mécanique, plombier, électricien
👨🏻‍🔧	homme, mécanicien, mécanicien : peau claire, mécanique, peau claire, plombier, électricien
👨🏼‍🔧	homme, mécanicien, mécanicien : peau moyennement claire, mécanique, peau moyennement claire, plombier, électricien
👨🏽‍🔧	homme, mécanicien, mécanicien : peau légèrement mate, mécanique, peau légèrement mate, plombier, électricien
👨🏾‍🔧	homme, mécanicien, mécanicien : peau mate, mécanique, peau mate, plombier, électricien
👨🏿‍🔧	homme, mécanicien, mécanicien : peau foncée, mécanique, peau foncée, plombier, électricien
👩‍🔧	femme, mécanicienne, mécanique, plombier, électricienne
👩🏻‍🔧	femme, mécanicienne, mécanicienne : peau claire, mécanique, peau claire, plombier, électricienne
👩🏼‍🔧	femme, mécanicienne, mécanicienne : peau moyennement claire, mécanique, peau moyennement claire, plombier, électricienne
👩🏽‍🔧	femme, mécanicienne, mécanicienne : peau légèrement mate, mécanique, peau légèrement mate, plombier, électricienne
👩🏾‍🔧	femme, mécanicienne, mécanicienne : peau mate, mécanique, peau mate, plombier, électricienne
👩🏿‍🔧	femme, mécanicienne, mécanicienne : peau foncée, mécanique, peau foncée, plombier, électricienne
👨‍🏭	assemblage, industrie, ouvrier, usine
👨🏻‍🏭	assemblage, industrie, ouvrier, ouvrier : peau claire, peau claire, usine
👨🏼‍🏭	assemblage, industrie, ouvrier, ouvrier : peau moyennement claire, peau moyennement claire, usine
👨🏽‍🏭	assemblage, industrie, ouvrier, ouvrier : peau légèrement mate, peau légèrement mate, usine
👨🏾‍🏭	assemblage, industrie, ouvrier, ouvrier : peau mate, peau mate, usine
👨🏿‍🏭	assemblage, industrie, ouvrier, ouvrier : peau foncée, peau foncée, usine
👩‍🏭	assemblage, industrie, ouvrière, usine
👩🏻‍🏭	assemblage, industrie, ouvrière, ouvrière : peau claire, peau claire, usine
👩🏼‍🏭	assemblage, industrie, ouvrière, ouvrière : peau moyennement claire, peau moyennement claire, usine
👩🏽‍🏭	assemblage, industrie, ouvrière, ouvrière : peau légèrement mate, peau légèrement mate, usine
👩🏾‍🏭	assemblage, industrie, ouvrière, ouvrière : peau mate, peau mate, usine
👩🏿‍🏭	assemblage, industrie, ouvrière, ouvrière : peau foncée, peau foncée, usine
👨‍💼	affaires, architecte, bureau, employé de bureau, homme
👨🏻‍💼	affaires, architecte, bureau, employé de bureau, employé de bureau : peau claire, homme, peau claire
👨🏼‍💼	affaires, architecte, bureau, employé de bureau, employé de bureau : peau moyennement claire, homme, peau moyennement claire
👨🏽‍💼	affaires, architecte, bureau, employé de bureau, employé de bureau : peau légèrement mate, homme, peau légèrement mate
👨🏾‍💼	affaires, architecte, bureau, employé de bureau, employé de bureau : peau mate, homme, peau mate
👨🏿‍💼	affaires, architecte, bureau, employé de bureau, employé de bureau : peau foncée, homme, peau foncée
👩‍💼	affaires, architecte, bureau, employée de bureau, femme
👩🏻‍💼	affaires, architecte, bureau, employée de bureau, employée de bureau : peau claire, femme, peau claire
👩🏼‍💼	affaires, architecte, bureau, employée de bureau, employée de bureau : peau moyennement claire, femme, peau moyennement claire
👩🏽‍💼	affaires, architecte, bureau, employée de bureau, employée de bureau : peau légèrement mate, femme, peau légèrement mate
👩🏾‍💼	affaires, architecte, bureau, employée de bureau, employée de bureau : peau mate, femme, peau mate
👩🏿‍💼	affaires, architecte, bureau, employée de bureau, employée de bureau : peau foncée, femme, peau foncée
👨‍🔬	chimiste, homme, scientifique, scientifique homme
👨🏻‍🔬	chimiste, homme, peau claire, scientifique, scientifique homme : peau claire
👨🏼‍🔬	chimiste, homme, peau moyennement claire, scientifique, scientifique homme : peau moyennement claire
👨🏽‍🔬	chimiste, homme, peau légèrement mate, scientifique, scientifique homme : peau légèrement mate
👨🏾‍🔬	chimiste, homme, peau mate, scientifique, scientifique homme : peau mate
👨🏿‍🔬	chimiste, homme, peau foncée, scientifique, scientifique homme : peau foncée
👩‍🔬	chimiste, femme, scientifique, scientifique femme
👩🏻‍🔬	chimiste, femme, peau claire, scientifique, scientifique femme : peau claire
👩🏼‍🔬	chimiste, femme, peau moyennement claire, scientifique, scientifique femme : peau moyennement claire
👩🏽‍🔬	chimiste, femme, peau légèrement mate, scientifique, scientifique femme : peau légèrement mate
👩🏾‍🔬	chimiste, femme, peau mate, scientifique, scientifique femme : peau mate
👩🏿‍🔬	chimiste, femme, peau foncée, scientifique, scientifique femme : peau foncée
👨‍💻	développeur, homme, informaticien, logiciels, technologie
👨🏻‍💻	développeur, homme, informaticien, informaticien : peau claire, logiciels, peau claire, technologie
👨🏼‍💻	développeur, homme, informaticien, informaticien : peau moyennement claire, logiciels, peau moyennement claire, technologie
👨🏽‍💻	développeur, homme, informaticien, informaticien : peau légèrement mate, logiciels, peau légèrement mate, technologie
👨🏾‍💻	développeur, homme, informaticien, informaticien : peau mate, logiciels, peau mate, technologie
👨🏿‍💻	développeur, homme, informaticien, informaticien : peau foncée, logiciels, peau foncée, technologie
👩‍💻	développeuse, femme, informaticienne, logiciels, technologie
👩🏻‍💻	développeuse, femme, informaticienne, informaticienne : peau claire, logiciels, peau claire, technologie
👩🏼‍💻	développeuse, femme, informaticienne, informaticienne : peau moyennement claire, logiciels, peau moyennement claire, technologie
👩🏽‍💻	développeuse, femme, informaticienne, informaticienne : peau légèrement mate, logiciels, peau légèrement mate, technologie
👩🏾‍💻	développeuse, femme, informaticienne, informaticienne : peau mate, logiciels, peau mate, technologie
👩🏿‍💻	développeuse, femme, informaticienne, informaticienne : peau foncée, logiciels, peau foncée, technologie
👨‍🎤	artiste, chanteur, rock, star
👨🏻‍🎤	artiste, chanteur, chanteur : peau claire, peau claire, rock, star
👨🏼‍🎤	artiste, chanteur, chanteur : peau moyennement claire, peau moyennement claire, rock, star
👨🏽‍🎤	artiste, chanteur, chanteur : peau légèrement mate, peau légèrement mate, rock, star
👨🏾‍🎤	artiste, chanteur, chanteur : peau mate, peau mate, rock, star
👨🏿‍🎤	artiste, chanteur, chanteur : peau foncée, peau foncée, rock, star
👩‍🎤	artiste, chanteuse, rock, star
👩🏻‍🎤	artiste, chanteuse, chanteuse : peau claire, peau claire, rock, star
👩🏼‍🎤	artiste, chanteuse, chanteuse : peau moyennement claire, peau moyennement claire, rock, star
👩🏽‍🎤	artiste, chanteuse, chanteuse : peau légèrement mate, peau légèrement mate, rock, star
👩🏾‍🎤	artiste, chanteuse, chanteuse : peau mate, peau mate, rock, star
👩🏿‍🎤	artiste, chanteuse, chanteuse : peau foncée, peau foncée, rock, star
👨‍🎨	artiste, artiste homme, homme, palette
👨🏻‍🎨	artiste, artiste homme : peau claire, homme, palette, peau claire
👨🏼‍🎨	artiste, artiste homme : peau moyennement claire, homme, palette, peau moyennement claire
👨🏽‍🎨	artiste, artiste homme : peau légèrement mate, homme, palette, peau légèrement mate
👨🏾‍🎨	artiste, artiste homme : peau mate, homme, palette, peau mate
👨🏿‍🎨	artiste, artiste homme : peau foncée, homme, palette, peau foncée
👩‍🎨	artiste, artiste femme, femme, palette
👩🏻‍🎨	artiste, artiste femme : peau claire, femme, palette, peau claire
👩🏼‍🎨	artiste, artiste femme : peau moyennement claire, femme, palette, peau moyennement claire
👩🏽‍🎨	artiste, artiste femme : peau légèrement mate, femme, palette, peau légèrement mate
👩🏾‍🎨	artiste, artiste femme : peau mate, femme, palette, peau mate
👩🏿‍🎨	artiste, artiste femme : peau foncée, femme, palette, peau foncée
👨‍✈	avion, homme, pilote, pilote homme
👨🏻‍✈	avion, homme, peau claire, pilote, pilote homme : peau claire
👨🏼‍✈	avion, homme, peau moyennement claire, pilote, pilote homme : peau moyennement claire
👨🏽‍✈	avion, homme, peau légèrement mate, pilote, pilote homme : peau légèrement mate
👨🏾‍✈	avion, homme, peau mate, pilote, pilote homme : peau mate
👨🏿‍✈	avion, homme, peau foncée, pilote, pilote homme : peau foncée
👩‍✈	avion, femme, pilote, pilote femme
👩🏻‍✈	avion, femme, peau claire, pilote, pilote femme : peau claire
👩🏼‍✈	avion, femme, peau moyennement claire, pilote, pilote femme : peau moyennement claire
👩🏽‍✈	avion, femme, peau légèrement mate, pilote, pilote femme : peau légèrement mate
👩🏾‍✈	avion, femme, peau mate, pilote, pilote femme : peau mate
👩🏿‍✈	avion, femme, peau foncée, pilote, pilote femme : peau foncée
👨‍🚀	astronaute, astronaute homme, espace, fusée, homme
👨🏻‍🚀	astronaute, astronaute homme : peau claire, espace, fusée, homme, peau claire
👨🏼‍🚀	astronaute, astronaute homme : peau moyennement claire, espace, fusée, homme, peau moyennement claire
👨🏽‍🚀	astronaute, astronaute homme : peau légèrement mate, espace, fusée, homme, peau légèrement mate
👨🏾‍🚀	astronaute, astronaute homme : peau mate, espace, fusée, homme, peau mate
👨🏿‍🚀	astronaute, astronaute homme : peau foncée, espace, fusée, homme, peau foncée
👩‍🚀	astronaute, astronaute femme, espace, femme, fusée
👩🏻‍🚀	astronaute, astronaute femme : peau claire, espace, femme, fusée, peau claire
👩🏼‍🚀	astronaute, astronaute femme : peau moyennement claire, espace, femme, fusée, peau moyennement claire
👩🏽‍🚀	astronaute, astronaute femme : peau légèrement mate, espace, femme, fusée, peau légèrement mate
👩🏾‍🚀	astronaute, astronaute femme : peau mate, espace, femme, fusée, peau mate
👩🏿‍🚀	astronaute, astronaute femme : peau foncée, espace, femme, fusée, peau foncée
👨‍🚒	camion de pompiers, homme, pompier, pompier homme
👨🏻‍🚒	camion de pompiers, homme, peau claire, pompier, pompier homme : peau claire
👨🏼‍🚒	camion de pompiers, homme, peau moyennement claire, pompier, pompier homme : peau moyennement claire
👨🏽‍🚒	camion de pompiers, homme, peau légèrement mate, pompier, pompier homme : peau légèrement mate
👨🏾‍🚒	camion de pompiers, homme, peau mate, pompier, pompier homme : peau mate
👨🏿‍🚒	camion de pompiers, homme, peau foncée, pompier, pompier homme : peau foncée
👩‍🚒	camion de pompiers, femme, pompier, pompier femme
👩🏻‍🚒	camion de pompiers, femme, peau claire, pompier, pompier femme : peau claire
👩🏼‍🚒	camion de pompiers, femme, peau moyennement claire, pompier, pompier femme : peau moyennement claire
👩🏽‍🚒	camion de pompiers, femme, peau légèrement mate, pompier, pompier femme : peau légèrement mate
👩🏾‍🚒	camion de pompiers, femme, peau mate, pompier, pompier femme : peau mate
👩🏿‍🚒	camion de pompiers, femme, peau foncée, pompier, pompier femme : peau foncée
👮	flic, officier, officier de police, police
👮🏻	flic, officier, officier de police, officier de police : peau claire, peau claire, police
👮🏼	flic, officier, officier de police, officier de police : peau moyennement claire, peau moyennement claire, police
👮🏽	flic, officier, officier de police, officier de police : peau légèrement mate, peau légèrement mate, police
👮🏾	flic, officier, officier de police, officier de police : peau mate, peau mate, police
👮🏿	flic, officier, officier de police, officier de police : peau foncée, peau foncée, police
👮‍♂	flic, homme, officier, police, policier
👮🏻‍♂	flic, homme, officier, peau claire, police, policier, policier : peau claire
👮🏼‍♂	flic, homme, officier, peau moyennement claire, police, policier, policier : peau moyennement claire
👮🏽‍♂	flic, homme, officier, peau légèrement mate, police, policier, policier : peau légèrement mate
👮🏾‍♂	flic, homme, officier, peau mate, police, policier, policier : peau mate
👮🏿‍♂	flic, homme, officier, peau foncée, police, policier, policier : peau foncée
👮‍♀	femme, flic, officier, police, policière
👮🏻‍♀	femme, flic, officier, peau claire, police, policière, policière : peau claire
👮🏼‍♀	femme, flic, officier, peau moyennement claire, police, policière, policière : peau moyennement claire
👮🏽‍♀	femme, flic, officier, peau légèrement mate, police, policière, policière : peau légèrement mate
👮🏾‍♀	femme, flic, officier, peau mate, police, policière, policière : peau mate
👮🏿‍♀	femme, flic, officier, peau foncée, police, policière, policière : peau foncée
🕵️	détective, enquêteur, espion
🕵🏻	détective, détective : peau claire, enquêteur, espion, peau claire
🕵🏼	détective, détective : peau moyennement claire, enquêteur, espion, peau moyennement claire
🕵🏽	détective, détective : peau légèrement mate, enquêteur, espion, peau légèrement mate
🕵🏾	détective, détective : peau mate, enquêteur, espion, peau mate
🕵🏿	détective, détective : peau foncée, enquêteur, espion, peau foncée
🕵‍♂	détective, détective homme, enquêteur, espion, homme
