😀	face, grin, grinning face
💁🏾‍♀	medium-dark skin tone, sassy, tipping hand, woman, woman tipping hand, woman tipping hand: medium-dark skin tone
💁🏿‍♀	dark skin tone, sassy, tipping hand, woman, woman tipping hand, woman tipping hand: dark skin tone
🙋	gesture, hand, happy, person raising hand, raised
🙋🏻	gesture, hand, happy, light skin tone, person raising hand, person raising hand: light skin tone, raised
🙋🏼	gesture, hand, happy, medium-light skin tone, person raising hand, person raising hand: medium-light skin tone, raised
🙋🏽	gesture, hand, happy, medium skin tone, person raising hand, person raising hand: medium skin tone, raised
🙋🏾	gesture, hand, happy, medium-dark skin tone, person raising hand, person raising hand: medium-dark skin tone, raised
🙋🏿	dark skin tone, gesture, hand, happy, person raising hand, person raising hand: dark skin tone, raised
🙋‍♂	gesture, man, man raising hand, raising hand
🙋🏻‍♂	gesture, light skin tone, man, man raising hand, man raising hand: light skin tone, raising hand
🙋🏼‍♂	gesture, man, man raising hand, man raising hand: medium-light skin tone, medium-light skin tone, raising hand
🙋🏽‍♂	gesture, man, man raising hand, man raising hand: medium skin tone, medium skin tone, raising hand
🙋🏾‍♂	gesture, man, man raising hand, man raising hand: medium-dark skin tone, medium-dark skin tone, raising hand
🙋🏿‍♂	dark skin tone, gesture, man, man raising hand, man raising hand: dark skin tone, raising hand
🙋‍♀	gesture, raising hand, woman, woman raising hand
🙋🏻‍♀	gesture, light skin tone, raising hand, woman, woman raising hand, woman raising hand: light skin tone
🙋🏼‍♀	gesture, medium-light skin tone, raising hand, woman, woman raising hand, woman raising hand: medium-light skin tone
🙋🏽‍♀	gesture, medium skin tone, raising hand, woman, woman raising hand, woman raising hand: medium skin tone
🙋🏾‍♀	gesture, medium-dark skin tone, raising hand, woman, woman raising hand, woman raising hand: medium-dark skin tone
🙋🏿‍♀	dark skin tone, gesture, raising hand, woman, woman raising hand, woman raising hand: dark skin tone
🧏	accessibility, deaf, deaf person, ear, hear
🧏🏻	accessibility, deaf, deaf person, deaf person: light skin tone, ear, hear, light skin tone
🧏🏼	accessibility, deaf, deaf person, deaf person: medium-light skin tone, ear, hear, medium-light skin tone
🧏🏽	accessibility, deaf, deaf person, deaf person: medium skin tone, ear, hear, medium skin tone
🧏🏾	accessibility, deaf, deaf person, deaf person: medium-dark skin tone, ear, hear, medium-dark skin tone
🧏🏿	accessibility, dark skin tone, deaf, deaf person, deaf person: dark skin tone, ear, hear
🧏‍♂	deaf, deaf man, man
🧏🏻‍♂	deaf, deaf man: light skin tone, light skin tone, man
🧏🏼‍♂	deaf, deaf man: medium-light skin tone, man, medium-light skin tone
🧏🏽‍♂	deaf, deaf man: medium skin tone, man, medium skin tone
🧏🏾‍♂	deaf, deaf man: medium-dark skin tone, man, medium-dark skin tone
🧏🏿‍♂	dark skin tone, deaf, deaf man: dark skin tone, man
🧏‍♀	deaf, deaf woman, woman
🧏🏻‍♀	deaf, deaf woman: light skin tone, light skin tone, woman
🧏🏼‍♀	deaf, deaf woman: medium-light skin tone, medium-light skin tone, woman
🧏🏽‍♀	deaf, deaf woman: medium skin tone, medium skin tone, woman
🧏🏾‍♀	deaf, deaf woman: medium-dark skin tone, medium-dark skin tone, woman
🧏🏿‍♀	dark skin tone, deaf, deaf woman: dark skin tone, woman
🙇	apology, bow, gesture, person bowing, sorry
🙇🏻	apology, bow, gesture, light skin tone, person bowing, person bowing: light skin tone, sorry
🙇🏼	apology, bow, gesture, medium-light skin tone, person bowing, person bowing: medium-light skin tone, sorry
🙇🏽	apology, bow, gesture, medium skin tone, person bowing, person bowing: medium skin tone, sorry
🙇🏾	apology, bow, gesture, medium-dark skin tone, person bowing, person bowing: medium-dark skin tone, sorry
🙇🏿	apology, bow, dark skin tone, gesture, person bowing, person bowing: dark skin tone, sorry
🙇‍♂	apology, bowing, favor, gesture, man, man bowing, sorry
🙇🏻‍♂	apology, bowing, favor, gesture, light skin tone, man, man bowing: light skin tone, sorry
🙇🏼‍♂	apology, bowing, favor, gesture, man, man bowing: medium-light skin tone, medium-light skin tone, sorry
🙇🏽‍♂	apology, bowing, favor, gesture, man, man bowing: medium skin tone, medium skin tone, sorry
🙇🏾‍♂	apology, bowing, favor, gesture, man, man bowing: medium-dark skin tone, medium-dark skin tone, sorry
🙇🏿‍♂	apology, bowing, dark skin tone, favor, gesture, man, man bowing: dark skin tone, sorry
🙇‍♀	apology, bowing, favor, gesture, sorry, woman, woman bowing
🙇🏻‍♀	apology, bowing, favor, gesture, light skin tone, sorry, woman, woman bowing: light skin tone
🙇🏼‍♀	apology, bowing, favor, gesture, medium-light skin tone, sorry, woman, woman bowing: medium-light skin tone
🙇🏽‍♀	apology, bowing, favor, gesture, medium skin tone, sorry, woman, woman bowing: medium skin tone
🙇🏾‍♀	apology, bowing, favor, gesture, medium-dark skin tone, sorry, woman, woman bowing: medium-dark skin tone
🙇🏿‍♀	apology, bowing, dark skin tone, favor, gesture, sorry, woman, woman bowing: dark skin tone
🤦	disbelief, exasperation, face, palm, person facepalming
🤦🏻	disbelief, exasperation, face, light skin tone, palm, person facepalming, person facepalming: light skin tone
🤦🏼	disbelief, exasperation, face, medium-light skin tone, palm, person facepalming, person facepalming: medium-light skin tone
🤦🏽	disbelief, exasperation, face, medium skin tone, palm, person facepalming, person facepalming: medium skin tone
🤦🏾	disbelief, exasperation, face, medium-dark skin tone, palm, person facepalming, person facepalming: medium-dark skin tone
🤦🏿	dark skin tone, disbelief, exasperation, face, palm, person facepalming, person facepalming: dark skin tone
🤦‍♂	disbelief, exasperation, facepalm, man, man facepalming
🤦🏻‍♂	disbelief, exasperation, facepalm, light skin tone, man, man facepalming, man facepalming: light skin tone
🤦🏼‍♂	disbelief, exasperation, facepalm, man, man facepalming, man facepalming: medium-light skin tone, medium-light skin tone
🤦🏽‍♂	disbelief, exasperation, facepalm, man, man facepalming, man facepalming: medium skin tone, medium skin tone
🤦🏾‍♂	disbelief, exasperation, facepalm, man, man facepalming, man facepalming: medium-dark skin tone, medium-dark skin tone
🤦🏿‍♂	dark skin tone, disbelief, exasperation, facepalm, man, man facepalming, man facepalming: dark skin tone
🤦‍♀	disbelief, exasperation, facepalm, woman, woman facepalming
🤦🏻‍♀	disbelief, exasperation, facepalm, light skin tone, woman, woman facepalming, woman facepalming: light skin tone
🤦🏼‍♀	disbelief, exasperation, facepalm, medium-light skin tone, woman, woman facepalming, woman facepalming: medium-light skin tone
🤦🏽‍♀	disbelief, exasperation, facepalm, medium skin tone, woman, woman facepalming, woman facepalming: medium skin tone
🤦🏾‍♀	disbelief, exasperation, facepalm, medium-dark skin tone, woman, woman facepalming, woman facepalming: medium-dark skin tone
🤦🏿‍♀	dark skin tone, disbelief, exasperation, facepalm, woman, woman facepalming, woman facepalming: dark skin tone
🤷	doubt, ignorance, indifference, person shrugging, shrug
🤷🏻	doubt, ignorance, indifference, light skin tone, person shrugging, person shrugging: light skin tone, shrug
🤷🏼	doubt, ignorance, indifference, medium-light skin tone, person shrugging, person shrugging: medium-light skin tone, shrug
🤷🏽	doubt, ignorance, indifference, medium skin tone, person shrugging, person shrugging: medium skin tone, shrug
🤷🏾	doubt, ignorance, indifference, medium-dark skin tone, person shrugging, person shrugging: medium-dark skin tone, shrug
🤷🏿	dark skin tone, doubt, ignorance, indifference, person shrugging, person shrugging: dark skin tone, shrug
🤷‍♂	doubt, ignorance, indifference, man, man shrugging, shrug
🤷🏻‍♂	doubt, ignorance, indifference, light skin tone, man, man shrugging, man shrugging: light skin tone, shrug
🤷🏼‍♂	doubt, ignorance, indifference, man, man shrugging, man shrugging: medium-light skin tone, medium-light skin tone, shrug
🤷🏽‍♂	doubt, ignorance, indifference, man, man shrugging, man shrugging: medium skin tone, medium skin tone, shrug
🤷🏾‍♂	doubt, ignorance, indifference, man, man shrugging, man shrugging: medium-dark skin tone, medium-dark skin tone, shrug
🤷🏿‍♂	dark skin tone, doubt, ignorance, indifference, man, man shrugging, man shrugging: dark skin tone, shrug
🤷‍♀	doubt, ignorance, indifference, shrug, woman, woman shrugging
🤷🏻‍♀	doubt, ignorance, indifference, light skin tone, shrug, woman, woman shrugging, woman shrugging: light skin tone
🤷🏼‍♀	doubt, ignorance, indifference, medium-light skin tone, shrug, woman, woman shrugging, woman shrugging: medium-light skin tone
🤷🏽‍♀	doubt, ignorance, indifference, medium skin tone, shrug, woman, woman shrugging, woman shrugging: medium skin tone
🤷🏾‍♀	doubt, ignorance, indifference, medium-dark skin tone, shrug, woman, woman shrugging, woman shrugging: medium-dark skin tone
🤷🏿‍♀	dark skin tone, doubt, ignorance, indifference, shrug, woman, woman shrugging, woman shrugging: dark skin tone
👨‍⚕	doctor, healthcare, man, man health worker, nurse, therapist
👨🏻‍⚕	doctor, healthcare, light skin tone, man, man health worker, man health worker: light skin tone, nurse, therapist
👨🏼‍⚕	doctor, healthcare, man, man health worker, man health worker: medium-light skin tone, medium-light skin tone, nurse, therapist
👨🏽‍⚕	doctor, healthcare, man, man health worker, man health worker: medium skin tone, medium skin tone, nurse, therapist
👨🏾‍⚕	doctor, healthcare, man, man health worker, man health worker: medium-dark skin tone, medium-dark skin tone, nurse, therapist
👨🏿‍⚕	dark skin tone, doctor, healthcare, man, man health worker, man health worker: dark skin tone, nurse, therapist
👩‍⚕	doctor, healthcare, nurse, therapist, woman, woman health worker
👩🏻‍⚕	doctor, healthcare, light skin tone, nurse, therapist, woman, woman health worker, woman health worker: light skin tone
👩🏼‍⚕	doctor, healthcare, medium-light skin tone, nurse, therapist, woman, woman health worker, woman health worker: medium-light skin tone
👩🏽‍⚕	doctor, healthcare, medium skin tone, nurse, therapist, woman, woman health worker, woman health worker: medium skin tone
👩🏾‍⚕	doctor, healthcare, medium-dark skin tone, nurse, therapist, woman, woman health worker, woman health worker: medium-dark skin tone
👩🏿‍⚕	dark skin tone, doctor, healthcare, nurse, therapist, woman, woman health worker, woman health worker: dark skin tone
👨‍🎓	graduate, man, man student, student
👨🏻‍🎓	graduate, light skin tone, man, man student: light skin tone, student
👨🏼‍🎓	graduate, man, man student: medium-light skin tone, medium-light skin tone, student
👨🏽‍🎓	graduate, man, man student: medium skin tone, medium skin tone, student
👨🏾‍🎓	graduate, man, man student: medium-dark skin tone, medium-dark skin tone, student
👨🏿‍🎓	dark skin tone, graduate, man, man student: dark skin tone, student
👩‍🎓	graduate, student, woman, woman student
👩🏻‍🎓	graduate, light skin tone, student, woman, woman student: light skin tone
👩🏼‍🎓	graduate, medium-light skin tone, student, woman, woman student: medium-light skin tone
👩🏽‍🎓	graduate, medium skin tone, student, woman, woman student: medium skin tone
👩🏾‍🎓	graduate, medium-dark skin tone, student, woman, woman student: medium-dark skin tone
👩🏿‍🎓	dark skin tone, graduate, student, woman, woman student: dark skin tone
👨‍🏫	instructor, man, man teacher, professor, teacher
👨🏻‍🏫	instructor, light skin tone, man, man teacher: light skin tone, professor, teacher
👨🏼‍🏫	instructor, man, man teacher: medium-light skin tone, medium-light skin tone, professor, teacher
👨🏽‍🏫	instructor, man, man teacher: medium skin tone, medium skin tone, professor, teacher
👨🏾‍🏫	instructor, man, man teacher: medium-dark skin tone, medium-dark skin tone, professor, teacher
👨🏿‍🏫	dark skin tone, instructor, man, man teacher: dark skin tone, professor, teacher
👩‍🏫	instructor, professor, teacher, woman, woman teacher
👩🏻‍🏫	instructor, light skin tone, professor, teacher, woman, woman teacher: light skin tone
👩🏼‍🏫	instructor, medium-light skin tone, professor, teacher, woman, woman teacher: medium-light skin tone
👩🏽‍🏫	instructor, medium skin tone, professor, teacher, woman, woman teacher: medium skin tone
👩🏾‍🏫	instructor, medium-dark skin tone, professor, teacher, woman, woman teacher: medium-dark skin tone
👩🏿‍🏫	dark skin tone, instructor, professor, teacher, woman, woman teacher: dark skin tone
👨‍⚖	justice, man, man judge, scales
👨🏻‍⚖	justice, light skin tone, man, man judge, man judge: light skin tone, scales
👨🏼‍⚖	justice, man, man judge, man judge: medium-light skin tone, medium-light skin tone, scales
👨🏽‍⚖	justice, man, man judge, man judge: medium skin tone, medium skin tone, scales
👨🏾‍⚖	justice, man, man judge, man judge: medium-dark skin tone, medium-dark skin tone, scales
👨🏿‍⚖	dark skin tone, justice, man, man judge, man judge: dark skin tone, scales
👩‍⚖	judge, scales, woman, woman judge
👩🏻‍⚖	judge, light skin tone, scales, woman, woman judge: light skin tone
👩🏼‍⚖	judge, medium-light skin tone, scales, woman, woman judge: medium-light skin tone
👩🏽‍⚖	judge, medium skin tone, scales, woman, woman judge: medium skin tone
👩🏾‍⚖	judge, medium-dark skin tone, scales, woman, woman judge: medium-dark skin tone
👩🏿‍⚖	dark skin tone, judge, scales, woman, woman judge: dark skin tone
👨‍🌾	farmer, gardener, man, man farmer, rancher
👨🏻‍🌾	farmer, gardener, light skin tone, man, man farmer: light skin tone, rancher
👨🏼‍🌾	farmer, gardener, man, man farmer: medium-light skin tone, medium-light skin tone, rancher
👨🏽‍🌾	farmer, gardener, man, man farmer: medium skin tone, medium skin tone, rancher
👨🏾‍🌾	farmer, gardener, man, man farmer: medium-dark skin tone, medium-dark skin tone, rancher
👨🏿‍🌾	dark skin tone, farmer, gardener, man, man farmer: dark skin tone, rancher
👩‍🌾	farmer, gardener, rancher, woman, woman farmer
👩🏻‍🌾	farmer, gardener, light skin tone, rancher, woman, woman farmer: light skin tone
👩🏼‍🌾	farmer, gardener, medium-light skin tone, rancher, woman, woman farmer: medium-light skin tone
👩🏽‍🌾	farmer, gardener, medium skin tone, rancher, woman, woman farmer: medium skin tone
👩🏾‍🌾	farmer, gardener, medium-dark skin tone, rancher, woman, woman farmer: medium-dark skin tone
👩🏿‍🌾	dark skin tone, farmer, gardener, rancher, woman, woman farmer: dark skin tone
👨‍🍳	chef, cook, man, man cook
👨🏻‍🍳	chef, cook, light skin tone, man, man cook: light skin tone
👨🏼‍🍳	chef, cook, man, man cook: medium-light skin tone, medium-light skin tone
👨🏽‍🍳	chef, cook, man, man cook: medium skin tone, medium skin tone
👨🏾‍🍳	chef, cook, man, man cook: medium-dark skin tone, medium-dark skin tone
👨🏿‍🍳	chef, cook, dark skin tone, man, man cook: dark skin tone
👩‍🍳	chef, cook, woman, woman cook
👩🏻‍🍳	chef, cook, light skin tone, woman, woman cook: light skin tone
👩🏼‍🍳	chef, cook, medium-light skin tone, woman, woman cook: medium-light skin tone
👩🏽‍🍳	chef, cook, medium skin tone, woman, woman cook: medium skin tone
👩🏾‍🍳	chef, cook, medium-dark skin tone, woman, woman cook: medium-dark skin tone
👩🏿‍🍳	chef, cook, dark skin tone, woman, woman cook: dark skin tone
👨‍🔧	electrician, man, man mechanic, mechanic, plumber, tradesperson
👨🏻‍🔧	electrician, light skin tone, man, man mechanic: light skin tone, mechanic, plumber, tradesperson
👨🏼‍🔧	electrician, man, man mechanic: medium-light skin tone, mechanic, medium-light skin tone, plumber, tradesperson
👨🏽‍🔧	electrician, man, man mechanic: medium skin tone, mechanic, medium skin tone, plumber, tradesperson
👨🏾‍🔧	electrician, man, man mechanic: medium-dark skin tone, mechanic, medium-dark skin tone, plumber, tradesperson
👨🏿‍🔧	dark skin tone, electrician, man, man mechanic: dark skin tone, mechanic, plumber, tradesperson
👩‍🔧	electrician, mechanic, plumber, tradesperson, woman, woman mechanic
👩🏻‍🔧	electrician, light skin tone, mechanic, plumber, tradesperson, woman, woman mechanic: light skin tone
👩🏼‍🔧	electrician, mechanic, medium-light skin tone, plumber, tradesperson, woman, woman mechanic: medium-light skin tone
👩🏽‍🔧	electrician, mechanic, medium skin tone, plumber, tradesperson, woman, woman mechanic: medium skin tone
👩🏾‍🔧	electrician, mechanic, medium-dark skin tone, plumber, tradesperson, woman, woman mechanic: medium-dark skin tone
👩🏿‍🔧	dark skin tone, electrician, mechanic, plumber, tradesperson, woman, woman mechanic: dark skin tone
👨‍🏭	assembly, factory, industrial, man, man factory worker, worker
👨🏻‍🏭	assembly, factory, industrial, light skin tone, man, man factory worker: light skin tone, worker
👨🏼‍🏭	assembly, factory, industrial, man, man factory worker: medium-light skin tone, medium-light skin tone, worker
👨🏽‍🏭	assembly, factory, industrial, man, man factory worker: medium skin tone, medium skin tone, worker
👨🏾‍🏭	assembly, factory, industrial, man, man factory worker: medium-dark skin tone, medium-dark skin tone, worker
👨🏿‍🏭	assembly, dark skin tone, factory, industrial, man, man factory worker: dark skin tone, worker
👩‍🏭	assembly, factory, industrial, woman, woman factory worker, worker
👩🏻‍🏭	assembly, factory, industrial, light skin tone, woman, woman factory worker: light skin tone, worker
👩🏼‍🏭	assembly, factory, industrial, medium-light skin tone, woman, woman factory worker: medium-light skin tone, worker
👩🏽‍🏭	assembly, factory, industrial, medium skin tone, woman, woman factory worker: medium skin tone, worker
👩🏾‍🏭	assembly, factory, industrial, medium-dark skin tone, woman, woman factory worker: medium-dark skin tone, worker
👩🏿‍🏭	assembly, dark skin tone, factory, industrial, woman, woman factory worker: dark skin tone, worker
👨‍💼	architect, business, man, man office worker, manager, white-collar
👨🏻‍💼	architect, business, light skin tone, man, man office worker, man office worker: light skin tone, manager, white-collar
👨🏼‍💼	architect, business, man, man office worker, man office worker: medium-light skin tone, manager, medium-light skin tone, white-collar
👨🏽‍💼	architect, business, man, man office worker, man office worker: medium skin tone, manager, medium skin tone, white-collar
👨🏾‍💼	architect, business, man, man office worker, man office worker: medium-dark skin tone, manager, medium-dark skin tone, white-collar
👨🏿‍💼	architect, business, dark skin tone, man, man office worker, man office worker: dark skin tone, manager, white-collar
👩‍💼	architect, business, manager, white-collar, woman, woman office worker
👩🏻‍💼	architect, business, light skin tone, manager, white-collar, woman, woman office worker, woman office worker: light skin tone
👩🏼‍💼	architect, business, manager, medium-light skin tone, white-collar, woman, woman office worker, woman office worker: medium-light skin tone
👩🏽‍💼	architect, business, manager, medium skin tone, white-collar, woman, woman office worker, woman office worker: medium skin tone
👩🏾‍💼	architect, business, manager, medium-dark skin tone, white-collar, woman, woman office worker, woman office worker: medium-dark skin tone
👩🏿‍💼	architect, business, dark skin tone, manager, white-collar, woman, woman office worker, woman office worker: dark skin tone
👨‍🔬	biologist, chemist, engineer, man, man scientist, physicist, scientist
👨🏻‍🔬	biologist, chemist, engineer, light skin tone, man, man scientist: light skin tone, physicist, scientist
👨🏼‍🔬	biologist, chemist, engineer, man, man scientist: medium-light skin tone, medium-light skin tone, physicist, scientist
👨🏽‍🔬	biologist, chemist, engineer, man, man scientist: medium skin tone, medium skin tone, physicist, scientist
👨🏾‍🔬	biologist, chemist, engineer, man, man scientist: medium-dark skin tone, medium-dark skin tone, physicist, scientist
👨🏿‍🔬	biologist, chemist, dark skin tone, engineer, man, man scientist: dark skin tone, physicist, scientist
👩‍🔬	biologist, chemist, engineer, physicist, scientist, woman, woman scientist
👩🏻‍🔬	biologist, chemist, engineer, light skin tone, physicist, scientist, woman, woman scientist: light skin tone
👩🏼‍🔬	biologist, chemist, engineer, medium-light skin tone, physicist, scientist, woman, woman scientist: medium-light skin tone
👩🏽‍🔬	biologist, chemist, engineer, medium skin tone, physicist, scientist, woman, woman scientist: medium skin tone
👩🏾‍🔬	biologist, chemist, engineer, medium-dark skin tone, physicist, scientist, woman, woman scientist: medium-dark skin tone
👩🏿‍🔬	biologist, chemist, dark skin tone, engineer, physicist, scientist, woman, woman scientist: dark skin tone
👨‍💻	coder, developer, inventor, man, man technologist, software, technologist
👨🏻‍💻	coder, developer, inventor, light skin tone, man, man technologist: light skin tone, software, technologist
👨🏼‍💻	coder, developer, inventor, man, man technologist: medium-light skin tone, medium-light skin tone, software, technologist
👨🏽‍💻	coder, developer, inventor, man, man technologist: medium skin tone, medium skin tone, software, technologist
👨🏾‍💻	coder, developer, inventor, man, man technologist: medium-dark skin tone, medium-dark skin tone, software, technologist
👨🏿‍💻	coder, dark skin tone, developer, inventor, man, man technologist: dark skin tone, software, technologist
👩‍💻	coder, developer, inventor, software, technologist, woman, woman technologist
👩🏻‍💻	coder, developer, inventor, light skin tone, software, technologist, woman, woman technologist: light skin tone
👩🏼‍💻	coder, developer, inventor, medium-light skin tone, software, technologist, woman, woman technologist: medium-light skin tone
👩🏽‍💻	coder, developer, inventor, medium skin tone, software, technologist, woman, woman technologist: medium skin tone
👩🏾‍💻	coder, developer, inventor, medium-dark skin tone, software, technologist, woman, woman technologist: medium-dark skin tone
👩🏿‍💻	coder, dark skin tone, developer, inventor, software, technologist, woman, woman technologist: dark skin tone
👨‍🎤	actor, entertainer, man, man singer, rock, singer, star
👨🏻‍🎤	actor, entertainer, light skin tone, man, man singer: light skin tone, rock, singer, star
👨🏼‍🎤	actor, entertainer, man, man singer: medium-light skin tone, medium-light skin tone, rock, singer, star
👨🏽‍🎤	actor, entertainer, man, man singer: medium skin tone, medium skin tone, rock, singer, star
👨🏾‍🎤	actor, entertainer, man, man singer: medium-dark skin tone, medium-dark skin tone, rock, singer, star
👨🏿‍🎤	actor, dark skin tone, entertainer, man, man singer: dark skin tone, rock, singer, star
👩‍🎤	actor, entertainer, rock, singer, star, woman, woman singer
👩🏻‍🎤	actor, entertainer, light skin tone, rock, singer, star, woman, woman singer: light skin tone
👩🏼‍🎤	actor, entertainer, medium-light skin tone, rock, singer, star, woman, woman singer: medium-light skin tone
👩🏽‍🎤	actor, entertainer, medium skin tone, rock, singer, star, woman, woman singer: medium skin tone
👩🏾‍🎤	actor, entertainer, medium-dark skin tone, rock, singer, star, woman, woman singer: medium-dark skin tone
👩🏿‍🎤	actor, dark skin tone, entertainer, rock, singer, star, woman, woman singer: dark skin tone
👨‍🎨	artist, man, man artist, palette
👨🏻‍🎨	artist, light skin tone, man, man artist: light skin tone, palette
👨🏼‍🎨	artist, man, man artist: medium-light skin tone, medium-light skin tone, palette
👨🏽‍🎨	artist, man, man artist: medium skin tone, medium skin tone, palette
👨🏾‍🎨	artist, man, man artist: medium-dark skin tone, medium-dark skin tone, palette
👨🏿‍🎨	artist, dark skin tone, man, man artist: dark skin tone, palette
👩‍🎨	artist, palette, woman, woman artist
👩🏻‍🎨	artist, light skin tone, palette, woman, woman artist: light skin tone
👩🏼‍🎨	artist, medium-light skin tone, palette, woman, woman artist: medium-light skin tone
👩🏽‍🎨	artist, medium skin tone, palette, woman, woman artist: medium skin tone
👩🏾‍🎨	artist, medium-dark skin tone, palette, woman, woman artist: medium-dark skin tone
👩🏿‍🎨	artist, dark skin tone, palette, woman, woman artist: dark skin tone
👨‍✈	man, man pilot, pilot, plane
👨🏻‍✈	light skin tone, man, man pilot: light skin tone, pilot, plane
👨🏼‍✈	man, man pilot: medium-light skin tone, medium-light skin tone, pilot, plane
👨🏽‍✈	man, man pilot: medium skin tone, medium skin tone, pilot, plane
👨🏾‍✈	man, man pilot: medium-dark skin tone, medium-dark skin tone, pilot, plane
👨🏿‍✈	dark skin tone, man, man pilot: dark skin tone, pilot, plane
👩‍✈	pilot, plane, woman, woman pilot
👩🏻‍✈	light skin tone, pilot, plane, woman, woman pilot: light skin tone
👩🏼‍✈	medium-light skin tone, pilot, plane, woman, woman pilot: medium-light skin tone
👩🏽‍✈	medium skin tone, pilot, plane, woman, woman pilot: medium skin tone
👩🏾‍✈	medium-dark skin tone, pilot, plane, woman, woman pilot: medium-dark skin tone
👩🏿‍✈	dark skin tone, pilot, plane, woman, woman pilot: dark skin tone
👨‍🚀	astronaut, man, man astronaut, rocket
👨🏻‍🚀	astronaut, light skin tone, man, man astronaut: light skin tone, rocket
👨🏼‍🚀	astronaut, man, man astronaut: medium-light skin tone, medium-light skin tone, rocket
👨🏽‍🚀	astronaut, man, man astronaut: medium skin tone, medium skin tone, rocket
👨🏾‍🚀	astronaut, man, man astronaut: medium-dark skin tone, medium-dark skin tone, rocket
👨🏿‍🚀	astronaut, dark skin tone, man, man astronaut: dark skin tone, rocket
👩‍🚀	astronaut, rocket, woman, woman astronaut
👩🏻‍🚀	astronaut, light skin tone, rocket, woman, woman astronaut: light skin tone
👩🏼‍🚀	astronaut, medium-light skin tone, rocket, woman, woman astronaut: medium-light skin tone
👩🏽‍🚀	astronaut, medium skin tone, rocket, woman, woman astronaut: medium skin tone
👩🏾‍🚀	astronaut, medium-dark skin tone, rocket, woman, woman astronaut: medium-dark skin tone
👩🏿‍🚀	astronaut, dark skin tone, rocket, woman, woman astronaut: dark skin tone
👨‍🚒	firefighter, firetruck, man, man firefighter
👨🏻‍🚒	firefighter, firetruck, light skin tone, man, man firefighter: light skin tone
👨🏼‍🚒	firefighter, firetruck, man, man firefighter: medium-light skin tone, medium-light skin tone
👨🏽‍🚒	firefighter, firetruck, man, man firefighter: medium skin tone, medium skin tone
👨🏾‍🚒	firefighter, firetruck, man, man firefighter: medium-dark skin tone, medium-dark skin tone
👨🏿‍🚒	dark skin tone, firefighter, firetruck, man, man firefighter: dark skin tone
👩‍🚒	firefighter, firetruck, woman, woman firefighter
👩🏻‍🚒	firefighter, firetruck, light skin tone, woman, woman firefighter: light skin tone
👩🏼‍🚒	firefighter, firetruck, medium-light skin tone, woman, woman firefighter: medium-light skin tone
👩🏽‍🚒	firefighter, firetruck, medium skin tone, woman, woman firefighter: medium skin tone
👩🏾‍🚒	firefighter, firetruck, medium-dark skin tone, woman, woman firefighter: medium-dark skin tone
👩🏿‍🚒	dark skin tone, firefighter, firetruck, woman, woman firefighter: dark skin tone
👮	cop, officer, police, police officer
👮🏻	cop, light skin tone, officer, police, police officer: light skin tone
👮🏼	cop, medium-light skin tone, officer, police, police officer: medium-light skin tone
👮🏽	cop, medium skin tone, officer, police, police officer: medium skin tone
👮🏾	cop, medium-dark skin tone, officer, police, police officer: medium-dark skin tone
👮🏿	cop, dark skin tone, officer, police, police officer: dark skin tone
👮‍♂	cop, man, man police officer, officer, police
👮🏻‍♂	cop, light skin tone, man, man police officer: light skin tone, officer, police
👮🏼‍♂	cop, man, man police officer: medium-light skin tone, medium-light skin tone, officer, police
👮🏽‍♂	cop, man, man police officer: medium skin tone, medium skin tone, officer, police
👮🏾‍♂	cop, man, man police officer: medium-dark skin tone, medium-dark skin tone, officer, police
👮🏿‍♂	cop, dark skin tone, man, man police officer: dark skin tone, officer, police
👮‍♀	cop, officer, police, woman, woman police officer
👮🏻‍♀	cop, light skin tone, officer, police, woman, woman police officer: light skin tone
👮🏼‍♀	cop, medium-light skin tone, officer, police, woman, woman police officer: medium-light skin tone
👮🏽‍♀	cop, medium skin tone, officer, police, woman, woman police officer: medium skin tone
👮🏾‍♀	cop, medium-dark skin tone, officer, police, woman, woman police officer: medium-dark skin tone
👮🏿‍♀	cop, dark skin tone, officer, police, woman, woman police officer: dark skin tone
🕵️	detective, sleuth, spy
🕵🏻	detective, detective: light skin tone, light skin tone, sleuth, spy
🕵🏼	detective, detective: medium-light skin tone, medium-light skin tone, sleuth, spy
🕵🏽	detective, detective: medium skin tone, medium skin tone, sleuth, spy
🕵🏾	detective, detective: medium-dark skin tone, medium-dark skin tone, sleuth, spy
🕵🏿	dark skin tone, detective, detective: dark skin tone, sleuth, spy
🕵‍♂	detective, man, man detective, sleuth, spy
🕵🏻‍♂	detective, light skin tone, man, man detective: light skin tone, sleuth, spy
🕵🏼‍♂	detective, man, man detective: medium-light skin tone, medium-light skin tone, sleuth, spy
🕵🏽‍♂	detective, man, man detective: medium skin tone, medium skin tone, sleuth, spy
🕵🏾‍♂	detective, man, man detective: medium-dark skin tone, medium-dark skin tone, sleuth, spy
🕵🏿‍♂	dark skin tone, detective, man, man detective: dark skin tone, sleuth, spy
🕵‍♀	detective, sleuth, spy, woman, woman detective
🕵🏻‍♀	detective, light skin tone, sleuth, spy, woman, woman detective: light skin tone
🕵🏼‍♀	detective, medium-light skin tone, sleuth, spy, woman, woman detective: medium-light skin tone
🕵🏽‍♀	detective, medium skin tone, sleuth, spy, woman, woman detective: medium skin tone
