😀	මුහුණ, සිනහ මුහුණ, සිනහව
👱🏼‍♀	තඹ පැහැ, තඹ පැහැ කොණ්ඩය සහිත කාන්තාව, තඹ පැහැ කොණ්ඩය සහිත කාන්තාව: සමෙහි වර්ගය-3, පිරිමි, මිනිහා, සමෙහි වර්ගය-3
👱🏽‍♀	තඹ පැහැ, තඹ පැහැ කොණ්ඩය සහිත කාන්තාව, තඹ පැහැ කොණ්ඩය සහිත කාන්තාව: සමෙහි වර්ගය-4, පිරිමි, මිනිහා, සමෙහි වර්ගය-4
👱🏾‍♀	තඹ පැහැ, තඹ පැහැ කොණ්ඩය සහිත කාන්තාව, තඹ පැහැ කොණ්ඩය සහිත කාන්තාව: සමෙහි වර්ගය-5, පිරිමි, මිනිහා, සමෙහි වර්ගය-5
👱🏿‍♀	තඹ පැහැ, තඹ පැහැ කොණ්ඩය සහිත කාන්තාව, තඹ පැහැ කොණ්ඩය සහිත කාන්තාව: සමෙහි වර්ගය-6, පිරිමි, මිනිහා, සමෙහි වර්ගය-6
👩‍🦰	කාන්තාව, කාන්තාව: රතු කොණ්ඩය, රතු කොණ්ඩය, ස්ත්‍රිය
👩🏻‍🦰	කාන්තාව, කාන්තාව: සමෙහි වර්ගය-1-2 සහ රතු කොණ්ඩය, රතු කොණ්ඩය, සමෙහි වර්ගය-1-2, ස්ත්‍රිය
👩🏼‍🦰	කාන්තාව, කාන්තාව: සමෙහි වර්ගය-3 සහ රතු කොණ්ඩය, රතු කොණ්ඩය, සමෙහි වර්ගය-3, ස්ත්‍රිය
👩🏽‍🦰	කාන්තාව, කාන්තාව: සමෙහි වර්ගය-4 සහ රතු කොණ්ඩය, රතු කොණ්ඩය, සමෙහි වර්ගය-4, ස්ත්‍රිය
👩🏾‍🦰	කාන්තාව, කාන්තාව: සමෙහි වර්ගය-5 සහ රතු කොණ්ඩය, රතු කොණ්ඩය, සමෙහි වර්ගය-5, ස්ත්‍රිය
👩🏿‍🦰	කාන්තාව, කාන්තාව: සමෙහි වර්ගය-6 සහ රතු කොණ්ඩය, රතු කොණ්ඩය, සමෙහි වර්ගය-6, ස්ත්‍රිය
👩‍🦱	කාන්තාව, කාන්තාව: රොද සහිත කොණ්ඩය, රොද සහිත කොණ්ඩය, ස්ත්‍රිය
👩🏻‍🦱	කාන්තාව, කාන්තාව: සමෙහි වර්ගය-1-2 සහ රොද සහිත කොණ්ඩය, රොද සහිත කොණ්ඩය, සමෙහි වර්ගය-1-2, ස්ත්‍රිය
👩🏼‍🦱	කාන්තාව, කාන්තාව: සමෙහි වර්ගය-3 සහ රොද සහිත කොණ්ඩය, රොද සහිත කොණ්ඩය, සමෙහි වර්ගය-3, ස්ත්‍රිය
👩🏽‍🦱	කාන්තාව, කාන්තාව: සමෙහි වර්ගය-4 සහ රොද සහිත කොණ්ඩය, රොද සහිත කොණ්ඩය, සමෙහි වර්ගය-4, ස්ත්‍රිය
👩🏾‍🦱	කාන්තාව, කාන්තාව: සමෙහි වර්ගය-5 සහ රොද සහිත කොණ්ඩය, රොද සහිත කොණ්ඩය, සමෙහි වර්ගය-5, ස්ත්‍රිය
👩🏿‍🦱	කාන්තාව, කාන්තාව: සමෙහි වර්ගය-6 සහ රොද සහිත කොණ්ඩය, රොද සහිත කොණ්ඩය, සමෙහි වර්ගය-6, ස්ත්‍රිය
👩‍🦳	කාන්තාව, කාන්තාව: සුදු කොන්ඩය, ස්ත්‍රිය, සුදු කොන්ඩය
👩🏻‍🦳	කාන්තාව, කාන්තාව: සමෙහි වර්ගය-1-2 සහ සුදු කොන්ඩය, සමෙහි වර්ගය-1-2, ස්ත්‍රිය, සුදු කොන්ඩය
👩🏼‍🦳	කාන්තාව, කාන්තාව: සමෙහි වර්ගය-3 සහ සුදු කොන්ඩය, සමෙහි වර්ගය-3, ස්ත්‍රිය, සුදු කොන්ඩය
👩🏽‍🦳	කාන්තාව, කාන්තාව: සමෙහි වර්ගය-4 සහ සුදු කොන්ඩය, සමෙහි වර්ගය-4, ස්ත්‍රිය, සුදු කොන්ඩය
👩🏾‍🦳	කාන්තාව, කාන්තාව: සමෙහි වර්ගය-5 සහ සුදු කොන්ඩය, සමෙහි වර්ගය-5, ස්ත්‍රිය, සුදු කොන්ඩය
👩🏿‍🦳	කාන්තාව, කාන්තාව: සමෙහි වර්ගය-6 සහ සුදු කොන්ඩය, සමෙහි වර්ගය-6, ස්ත්‍රිය, සුදු කොන්ඩය
👩‍🦲	කාන්තාව, කාන්තාව: තට්ට, තට්ට, ස්ත්‍රිය
👩🏻‍🦲	කාන්තාව, කාන්තාව: සමෙහි වර්ගය-1-2 සහ තට්ට, තට්ට, සමෙහි වර්ගය-1-2, ස්ත්‍රිය
👩🏼‍🦲	කාන්තාව, කාන්තාව: සමෙහි වර්ගය-3 සහ තට්ට, තට්ට, සමෙහි වර්ගය-3, ස්ත්‍රිය
👩🏽‍🦲	කාන්තාව, කාන්තාව: සමෙහි වර්ගය-4 සහ තට්ට, තට්ට, සමෙහි වර්ගය-4, ස්ත්‍රිය
👩🏾‍🦲	කාන්තාව, කාන්තාව: සමෙහි වර්ගය-5 සහ තට්ට, තට්ට, සමෙහි වර්ගය-5, ස්ත්‍රිය
👩🏿‍🦲	කාන්තාව, කාන්තාව: සමෙහි වර්ගය-6 සහ තට්ට, තට්ට, සමෙහි වර්ගය-6, ස්ත්‍රිය
🧓	මහලු, මහලු වැඩිහිටියා, ස්ත්‍රී පුරුෂභාවය උදාසීන
🧓🏻	මහලු, මහලු වැඩිහිටියා, මහලු වැඩිහිටියා: සමෙහි වර්ගය-1-2, සමෙහි වර්ගය-1-2, ස්ත්‍රී පුරුෂභාවය උදාසීන
🧓🏼	මහලු, මහලු වැඩිහිටියා, මහලු වැඩිහිටියා: සමෙහි වර්ගය-3, සමෙහි වර්ගය-3, ස්ත්‍රී පුරුෂභාවය උදාසීන
🧓🏽	මහලු, මහලු වැඩිහිටියා, මහලු වැඩිහිටියා: සමෙහි වර්ගය-4, සමෙහි වර්ගය-4, ස්ත්‍රී පුරුෂභාවය උදාසීන
🧓🏾	මහලු, මහලු වැඩිහිටියා, මහලු වැඩිහිටියා: සමෙහි වර්ගය-5, සමෙහි වර්ගය-5, ස්ත්‍රී පුරුෂභාවය උදාසීන
🧓🏿	මහලු, මහලු වැඩිහිටියා, මහලු වැඩිහිටියා: සමෙහි වර්ගය-6, සමෙහි වර්ගය-6, ස්ත්‍රී පුරුෂභාවය උදාසීන
👴	මිනිසා, වයසක, වයසක මිනිසා
👴🏻	මිනිසා, වයසක, වයසක මිනිසා: සමෙහි වර්ගය-1-2, සමෙහි වර්ගය-1-2
👴🏼	මිනිසා, වයසක, වයසක මිනිසා: සමෙහි වර්ගය-3, සමෙහි වර්ගය-3
👴🏽	මිනිසා, වයසක, වයසක මිනිසා: සමෙහි වර්ගය-4, සමෙහි වර්ගය-4
👴🏾	මිනිසා, වයසක, වයසක මිනිසා: සමෙහි වර්ගය-5, සමෙහි වර්ගය-5
👴🏿	මිනිසා, වයසක, වයසක මිනිසා: සමෙහි වර්ගය-6, සමෙහි වර්ගය-6
👵	කාන්තාව, වයසක, වයසක කාන්තාව
👵🏻	කාන්තාව, වයසක, වයසක කාන්තාව: සමෙහි වර්ගය-1-2, සමෙහි වර්ගය-1-2
👵🏼	කාන්තාව, වයසක, වයසක කාන්තාව: සමෙහි වර්ගය-3, සමෙහි වර්ගය-3
👵🏽	කාන්තාව, වයසක, වයසක කාන්තාව: සමෙහි වර්ගය-4, සමෙහි වර්ගය-4
👵🏾	කාන්තාව, වයසක, වයසක කාන්තාව: සමෙහි වර්ගය-5, සමෙහි වර්ගය-5
👵🏿	කාන්තාව, වයසක, වයසක කාන්තාව: සමෙහි වර්ගය-6, සමෙහි වර්ගය-6
🙍	අභින, රවන පුද්ගලයා, රැවීම
🙍🏻	අභින, රවන පුද්ගලයා, රවන පුද්ගලයා: සමෙහි වර්ගය-1-2, රැවීම, සමෙහි වර්ගය-1-2
🙍🏼	අභින, රවන පුද්ගලයා, රවන පුද්ගලයා: සමෙහි වර්ගය-3, රැවීම, සමෙහි වර්ගය-3
🙍🏽	අභින, රවන පුද්ගලයා, රවන පුද්ගලයා: සමෙහි වර්ගය-4, රැවීම, සමෙහි වර්ගය-4
🙍🏾	අභින, රවන පුද්ගලයා, රවන පුද්ගලයා: සමෙහි වර්ගය-5, රැවීම, සමෙහි වර්ගය-5
🙍🏿	අභින, රවන පුද්ගලයා, රවන පුද්ගලයා: සමෙහි වර්ගය-6, රැවීම, සමෙහි වර්ගය-6
🙍‍♂	අභින, පිරිමියා, මිනිහා, රවන මිනිසා, රැවීම
🙍🏻‍♂	අභින, පිරිමියා, මිනිහා, රවන මිනිසා, රවන මිනිසා: සමෙහි වර්ගය-1-2, රැවීම, සමෙහි වර්ගය-1-2
🙍🏼‍♂	අභින, පිරිමියා, මිනිහා, රවන මිනිසා, රවන මිනිසා: සමෙහි වර්ගය-3, රැවීම, සමෙහි වර්ගය-3
🙍🏽‍♂	අභින, පිරිමියා, මිනිහා, රවන මිනිසා, රවන මිනිසා: සමෙහි වර්ගය-4, රැවීම, සමෙහි වර්ගය-4
🙍🏾‍♂	අභින, පිරිමියා, මිනිහා, රවන මිනිසා, රවන මිනිසා: සමෙහි වර්ගය-5, රැවීම, සමෙහි වර්ගය-5
🙍🏿‍♂	අභින, පිරිමියා, මිනිහා, රවන මිනිසා, රවන මිනිසා: සමෙහි වර්ගය-6, රැවීම, සමෙහි වර්ගය-6
🙍‍♀	අභින, කාන්තාව, රවන කාන්තාව, රැවීම, ස්ත්‍රිය
🙍🏻‍♀	අභින, කාන්තාව, රවන කාන්තාව, රවන කාන්තාව: සමෙහි වර්ගය-1-2, රැවීම, සමෙහි වර්ගය-1-2, ස්ත්‍රිය
🙍🏼‍♀	අභින, කාන්තාව, රවන කාන්තාව, රවන කාන්තාව: සමෙහි වර්ගය-3, රැවීම, සමෙහි වර්ගය-3, ස්ත්‍රිය
🙍🏽‍♀	අභින, කාන්තාව, රවන කාන්තාව, රවන කාන්තාව: සමෙහි වර්ගය-4, රැවීම, සමෙහි වර්ගය-4, ස්ත්‍රිය
🙍🏾‍♀	අභින, කාන්තාව, රවන කාන්තාව, රවන කාන්තාව: සමෙහි වර්ගය-5, රැවීම, සමෙහි වර්ගය-5, ස්ත්‍රිය
🙍🏿‍♀	අභින, කාන්තාව, රවන කාන්තාව, රවන කාන්තාව: සමෙහි වර්ගය-6, රැවීම, සමෙහි වර්ගය-6, ස්ත්‍රිය
🙎	අභින, අමනාපය දක්වන පුද්ගලයා, අමනාපය දැක්වීම
🙎🏻	අභින, අමනාපය දක්වන පුද්ගලයා, අමනාපය දක්වන පුද්ගලයා: සමෙහි වර්ගය-1-2, අමනාපය දැක්වීම, සමෙහි වර්ගය-1-2
🙎🏼	අභින, අමනාපය දක්වන පුද්ගලයා, අමනාපය දක්වන පුද්ගලයා: සමෙහි වර්ගය-3, අමනාපය දැක්වීම, සමෙහි වර්ගය-3
🙎🏽	අභින, අමනාපය දක්වන පුද්ගලයා, අමනාපය දක්වන පුද්ගලයා: සමෙහි වර්ගය-4, අමනාපය දැක්වීම, සමෙහි වර්ගය-4
🙎🏾	අභින, අමනාපය දක්වන පුද්ගලයා, අමනාපය දක්වන පුද්ගලයා: සමෙහි වර්ගය-5, අමනාපය දැක්වීම, සමෙහි වර්ගය-5
🙎🏿	අභින, අමනාපය දක්වන පුද්ගලයා, අමනාපය දක්වන පුද්ගලයා: සමෙහි වර්ගය-6, අමනාපය දැක්වීම, සමෙහි වර්ගය-6
🙎‍♂	අභින, කට උල්කරන මිනිසා, කට උල්කිරීම, පිරිමියා, මිනිහා
🙎🏻‍♂	අභින, කට උල්කරන මිනිසා, කට උල්කරන මිනිසා: සමෙහි වර්ගය-1-2, කට උල්කිරීම, පිරිමියා, මිනිහා, සමෙහි වර්ගය-1-2
🙎🏼‍♂	අභින, කට උල්කරන මිනිසා, කට උල්කරන මිනිසා: සමෙහි වර්ගය-3, කට උල්කිරීම, පිරිමියා, මිනිහා, සමෙහි වර්ගය-3
🙎🏽‍♂	අභින, කට උල්කරන මිනිසා, කට උල්කරන මිනිසා: සමෙහි වර්ගය-4, කට උල්කිරීම, පිරිමියා, මිනිහා, සමෙහි වර්ගය-4
🙎🏾‍♂	අභින, කට උල්කරන මිනිසා, කට උල්කරන මිනිසා: සමෙහි වර්ගය-5, කට උල්කිරීම, පිරිමියා, මිනිහා, සමෙහි වර්ගය-5
🙎🏿‍♂	අභින, කට උල්කරන මිනිසා, කට උල්කරන මිනිසා: සමෙහි වර්ගය-6, කට උල්කිරීම, පිරිමියා, මිනිහා, සමෙහි වර්ගය-6
🙎‍♀	අභින, කට උල්කරන කාන්තාව, කට උල්කිරීම, කාන්තාව, ස්ත්‍රිය
🙎🏻‍♀	අභින, කට උල්කරන කාන්තාව, කට උල්කරන කාන්තාව: සමෙහි වර්ගය-1-2, කට උල්කිරීම, කාන්තාව, සමෙහි වර්ගය-1-2, ස්ත්‍රිය
🙎🏼‍♀	අභින, කට උල්කරන කාන්තාව, කට උල්කරන කාන්තාව: සමෙහි වර්ගය-3, කට උල්කිරීම, කාන්තාව, සමෙහි වර්ගය-3, ස්ත්‍රිය
🙎🏽‍♀	අභින, කට උල්කරන කාන්තාව, කට උල්කරන කාන්තාව: සමෙහි වර්ගය-4, කට උල්කිරීම, කාන්තාව, සමෙහි වර්ගය-4, ස්ත්‍රිය
🙎🏾‍♀	අභින, කට උල්කරන කාන්තාව, කට උල්කරන කාන්තාව: සමෙහි වර්ගය-5, කට උල්කිරීම, කාන්තාව, සමෙහි වර්ගය-5, ස්ත්‍රිය
🙎🏿‍♀	අභින, කට උල්කරන කාන්තාව, කට උල්කරන කාන්තාව: සමෙහි වර්ගය-6, කට උල්කිරීම, කාන්තාව, සමෙහි වර්ගය-6, ස්ත්‍රිය
🙅	අත, අභින, තහනම්, නැත, නැත යන අභිනය
🙅🏻	අත, අභින, තහනම්, නැත, නැත යන අභිනය, නැත යන අභිනය: සමෙහි වර්ගය-1-2, සමෙහි වර්ගය-1-2
🙅🏼	අත, අභින, තහනම්, නැත, නැත යන අභිනය, නැත යන අභිනය: සමෙහි වර්ගය-3, සමෙහි වර්ගය-3
🙅🏽	අත, අභින, තහනම්, නැත, නැත යන අභිනය, නැත යන අභිනය: සමෙහි වර්ගය-4, සමෙහි වර්ගය-4
🙅🏾	අත, අභින, තහනම්, නැත, නැත යන අභිනය, නැත යන අභිනය: සමෙහි වර්ගය-5, සමෙහි වර්ගය-5
🙅🏿	අත, අභින, තහනම්, නැත, නැත යන අභිනය, නැත යන අභිනය: සමෙහි වර්ගය-6, සමෙහි වර්ගය-6
🙅‍♂	අත, තහනම්, නැහැ, හරි නැති බව පෙන්වන මිනිසා, හරි නැහැ
🙅🏻‍♂	අත, තහනම්, නැහැ, සමෙහි වර්ගය-1-2, හරි නැති බව පෙන්වන මිනිසා, හරි නැති බව පෙන්වන මිනිසා: සමෙහි වර්ගය-1-2, හරි නැහැ
🙅🏼‍♂	අත, තහනම්, නැහැ, සමෙහි වර්ගය-3, හරි නැති බව පෙන්වන මිනිසා, හරි නැති බව පෙන්වන මිනිසා: සමෙහි වර්ගය-3, හරි නැහැ
🙅🏽‍♂	අත, තහනම්, නැහැ, සමෙහි වර්ගය-4, හරි නැති බව පෙන්වන මිනිසා, හරි නැති බව පෙන්වන මිනිසා: සමෙහි වර්ගය-4, හරි නැහැ
🙅🏾‍♂	අත, තහනම්, නැහැ, සමෙහි වර්ගය-5, හරි නැති බව පෙන්වන මිනිසා, හරි නැති බව පෙන්වන මිනිසා: සමෙහි වර්ගය-5, හරි නැහැ
🙅🏿‍♂	අත, තහනම්, නැහැ, සමෙහි වර්ගය-6, හරි නැති බව පෙන්වන මිනිසා, හරි නැති බව පෙන්වන මිනිසා: සමෙහි වර්ගය-6, හරි නැහැ
🙅‍♀	අත, කාන්තාව, තහනම්, හරි නැති බව පෙන්වන කාන්තාව, හරි නැහැ
🙅🏻‍♀	අත, කාන්තාව, තහනම්, සමෙහි වර්ගය-1-2, හරි නැති බව පෙන්වන කාන්තාව, හරි නැති බව පෙන්වන කාන්තාව: සමෙහි වර්ගය-1-2, හරි නැහැ
🙅🏼‍♀	අත, කාන්තාව, තහනම්, සමෙහි වර්ගය-3, හරි නැති බව පෙන්වන කාන්තාව, හරි නැති බව පෙන්වන කාන්තාව: සමෙහි වර්ගය-3, හරි නැහැ
🙅🏽‍♀	අත, කාන්තාව, තහනම්, සමෙහි වර්ගය-4, හරි නැති බව පෙන්වන කාන්තාව, හරි නැති බව පෙන්වන කාන්තාව: සමෙහි වර්ගය-4, හරි නැහැ
🙅🏾‍♀	අත, කාන්තාව, තහනම්, සමෙහි වර්ගය-5, හරි නැති බව පෙන්වන කාන්තාව, හරි නැති බව පෙන්වන කාන්තාව: සමෙහි වර්ගය-5, හරි නැහැ
🙅🏿‍♀	අත, කාන්තාව, තහනම්, සමෙහි වර්ගය-6, හරි නැති බව පෙන්වන කාන්තාව, හරි නැති බව පෙන්වන කාන්තාව: සමෙහි වර්ගය-6, හරි නැහැ
🙆	අත, අභිින, හරි, හරි යන අභිනය
🙆🏻	අත, අභිින, සමෙහි වර්ගය-1-2, හරි, හරි යන අභිනය, හරි යන අභිනය: සමෙහි වර්ගය-1-2
🙆🏼	අත, අභිින, සමෙහි වර්ගය-3, හරි, හරි යන අභිනය, හරි යන අභිනය: සමෙහි වර්ගය-3
🙆🏽	අත, අභිින, සමෙහි වර්ගය-4, හරි, හරි යන අභිනය, හරි යන අභිනය: සමෙහි වර්ගය-4
🙆🏾	අත, අභිින, සමෙහි වර්ගය-5, හරි, හරි යන අභිනය, හරි යන අභිනය: සමෙහි වර්ගය-5
🙆🏿	අත, අභිින, සමෙහි වර්ගය-6, හරි, හරි යන අභිනය, හරි යන අභිනය: සමෙහි වර්ගය-6
🙆‍♂	අත, පිරිමියා, මිනිහා, හරි, හරි බව පෙන්වන මිනිසා
🙆🏻‍♂	අත, පිරිමියා, මිනිහා, සමෙහි වර්ගය-1-2, හරි, හරි බව පෙන්වන මිනිසා, හරි බව පෙන්වන මිනිසා: සමෙහි වර්ගය-1-2
🙆🏼‍♂	අත, පිරිමියා, මිනිහා, සමෙහි වර්ගය-3, හරි, හරි බව පෙන්වන මිනිසා, හරි බව පෙන්වන මිනිසා: සමෙහි වර්ගය-3
🙆🏽‍♂	අත, පිරිමියා, මිනිහා, සමෙහි වර්ගය-4, හරි, හරි බව පෙන්වන මිනිසා, හරි බව පෙන්වන මිනිසා: සමෙහි වර්ගය-4
🙆🏾‍♂	අත, පිරිමියා, මිනිහා, සමෙහි වර්ගය-5, හරි, හරි බව පෙන්වන මිනිසා, හරි බව පෙන්වන මිනිසා: සමෙහි වර්ගය-5
🙆🏿‍♂	අත, පිරිමියා, මිනිහා, සමෙහි වර්ගය-6, හරි, හරි බව පෙන්වන මිනිසා, හරි බව පෙන්වන මිනිසා: සමෙහි වර්ගය-6
🙆‍♀	අත, කාන්තාව, ස්ත්‍රිය, හරි, හරි බව පෙන්වන කාන්තාව
🙆🏻‍♀	අත, කාන්තාව, සමෙහි වර්ගය-1-2, ස්ත්‍රිය, හරි, හරි බව පෙන්වන කාන්තාව, හරි බව පෙන්වන කාන්තාව: සමෙහි වර්ගය-1-2
🙆🏼‍♀	අත, කාන්තාව, සමෙහි වර්ගය-3, ස්ත්‍රිය, හරි, හරි බව පෙන්වන කාන්තාව, හරි බව පෙන්වන කාන්තාව: සමෙහි වර්ගය-3
🙆🏽‍♀	අත, කාන්තාව, සමෙහි වර්ගය-4, ස්ත්‍රිය, හරි, හරි බව පෙන්වන කාන්තාව, හරි බව පෙන්වන කාන්තාව: සමෙහි වර්ගය-4
🙆🏾‍♀	අත, කාන්තාව, සමෙහි වර්ගය-5, ස්ත්‍රිය, හරි, හරි බව පෙන්වන කාන්තාව, හරි බව පෙන්වන කාන්තාව: සමෙහි වර්ගය-5
🙆🏿‍♀	අත, කාන්තාව, සමෙහි වර්ගය-6, ස්ත්‍රිය, හරි, හරි බව පෙන්වන කාන්තාව, හරි බව පෙන්වන කාන්තාව: සමෙහි වර්ගය-6
💁	අත, උපකාර කවුළු පුද්ගලයා, උපකාරය, එඩිතර, තොරතුරු
💁🏻	අත, උපකාර කවුළු පුද්ගලයා, උපකාර කවුළු පුද්ගලයා: සමෙහි වර්ගය-1-2, උපකාරය, එඩිතර, තොරතුරු, සමෙහි වර්ගය-1-2
💁🏼	අත, උපකාර කවුළු පුද්ගලයා, උපකාර කවුළු පුද්ගලයා: සමෙහි වර්ගය-3, උපකාරය, එඩිතර, තොරතුරු, සමෙහි වර්ගය-3
💁🏽	අත, උපකාර කවුළු පුද්ගලයා, උපකාර කවුළු පුද්ගලයා: සමෙහි වර්ගය-4, උපකාරය, එඩිතර, තොරතුරු, සමෙහි වර්ගය-4
💁🏾	අත, උපකාර කවුළු පුද්ගලයා, උපකාර කවුළු පුද්ගලයා: සමෙහි වර්ගය-5, උපකාරය, එඩිතර, තොරතුරු, සමෙහි වර්ගය-5
💁🏿	අත, උපකාර කවුළු පුද්ගලයා, උපකාර කවුළු පුද්ගලයා: සමෙහි වර්ගය-6, උපකාරය, එඩිතර, තොරතුරු, සමෙහි වර්ගය-6
💁‍♂	අත හෙළන මිනිසා, අත හෙළීම, ආත්මීය, පිරිමියා, මිනිහා
💁🏻‍♂	අත හෙළන මිනිසා, අත හෙළන මිනිසා: සමෙහි වර්ගය-1-2, අත හෙළීම, ආත්මීය, පිරිමියා, මිනිහා, සමෙහි වර්ගය-1-2
💁🏼‍♂	අත හෙළන මිනිසා, අත හෙළන මිනිසා: සමෙහි වර්ගය-3, අත හෙළීම, ආත්මීය, පිරිමියා, මිනිහා, සමෙහි වර්ගය-3
💁🏽‍♂	අත හෙළන මිනිසා, අත හෙළන මිනිසා: සමෙහි වර්ගය-4, අත හෙළීම, ආත්මීය, පිරිමියා, මිනිහා, සමෙහි වර්ගය-4
💁🏾‍♂	අත හෙළන මිනිසා, අත හෙළන මිනිසා: සමෙහි වර්ගය-5, අත හෙළීම, ආත්මීය, පිරිමියා, මිනිහා, සමෙහි වර්ගය-5
💁🏿‍♂	අත හෙළන මිනිසා, අත හෙළන මිනිසා: සමෙහි වර්ගය-6, අත හෙළීම, ආත්මීය, පිරිමියා, මිනිහා, සමෙහි වර්ගය-6
💁‍♀	අත හෙළන කාන්තාව, අත හෙළීම, ආත්මීය, කාන්තාව, ස්ත්‍රිය
💁🏻‍♀	අත හෙළන කාන්තාව, අත හෙළන කාන්තාව: සමෙහි වර්ගය-1-2, අත හෙළීම, ආත්මීය, කාන්තාව, සමෙහි වර්ගය-1-2, ස්ත්‍රිය
💁🏼‍♀	අත හෙළන කාන්තාව, අත හෙළන කාන්තාව: සමෙහි වර්ගය-3, අත හෙළීම, ආත්මීය, කාන්තාව, සමෙහි වර්ගය-3, ස්ත්‍රිය
💁🏽‍♀	අත හෙළන කාන්තාව, අත හෙළන කාන්තාව: සමෙහි වර්ගය-4, අත හෙළීම, ආත්මීය, කාන්තාව, සමෙහි වර්ගය-4, ස්ත්‍රිය
💁🏾‍♀	අත හෙළන කාන්තාව, අත හෙළන කාන්තාව: සමෙහි වර්ගය-5, අත හෙළීම, ආත්මීය, කාන්තාව, සමෙහි වර්ගය-5, ස්ත්‍රිය
💁🏿‍♀	අත හෙළන කාන්තාව, අත හෙළන කාන්තාව: සමෙහි වර්ගය-6, අත හෙළීම, ආත්මීය, කාන්තාව, සමෙහි වර්ගය-6, ස්ත්‍රිය
🙋	අත, අත ඔසවන ප්‍රීතිමත් පුද්ගලයා, අභින, උස්සන ලද, ප්‍රීතිමත්
🙋🏻	අත, අත ඔසවන ප්‍රීතිමත් පුද්ගලයා, අත ඔසවන ප්‍රීතිමත් පුද්ගලයා: සමෙහි වර්ගය-1-2, අභින, උස්සන ලද, ප්‍රීතිමත්, සමෙහි වර්ගය-1-2
🙋🏼	අත, අත ඔසවන ප්‍රීතිමත් පුද්ගලයා, අත ඔසවන ප්‍රීතිමත් පුද්ගලයා: සමෙහි වර්ගය-3, අභින, උස්සන ලද, ප්‍රීතිමත්, සමෙහි වර්ගය-3
🙋🏽	අත, අත ඔසවන ප්‍රීතිමත් පුද්ගලයා, අත ඔසවන ප්‍රීතිමත් පුද්ගලයා: සමෙහි වර්ගය-4, අභින, උස්සන ලද, ප්‍රීතිමත්, සමෙහි වර්ගය-4
🙋🏾	අත, අත ඔසවන ප්‍රීතිමත් පුද්ගලයා, අත ඔසවන ප්‍රීතිමත් පුද්ගලයා: සමෙහි වර්ගය-5, අභින, උස්සන ලද, ප්‍රීතිමත්, සමෙහි වර්ගය-5
🙋🏿	අත, අත ඔසවන ප්‍රීතිමත් පුද්ගලයා, අත ඔසවන ප්‍රීතිමත් පුද්ගලයා: සමෙහි වර්ගය-6, අභින, උස්සන ලද, ප්‍රීතිමත්, සමෙහි වර්ගය-6
🙋‍♂	අත එසවීම, අත ඔසවන මිනිසා, අභිනය, පිරිමියා, මිනිහා
🙋🏻‍♂	අත එසවීම, අත ඔසවන මිනිසා, අත ඔසවන මිනිසා: සමෙහි වර්ගය-1-2, අභිනය, පිරිමියා, මිනිහා, සමෙහි වර්ගය-1-2
🙋🏼‍♂	අත එසවීම, අත ඔසවන මිනිසා, අත ඔසවන මිනිසා: සමෙහි වර්ගය-3, අභිනය, පිරිමියා, මිනිහා, සමෙහි වර්ගය-3
🙋🏽‍♂	අත එසවීම, අත ඔසවන මිනිසා, අත ඔසවන මිනිසා: සමෙහි වර්ගය-4, අභිනය, පිරිමියා, මිනිහා, සමෙහි වර්ගය-4
🙋🏾‍♂	අත එසවීම, අත ඔසවන මිනිසා, අත ඔසවන මිනිසා: සමෙහි වර්ගය-5, අභිනය, පිරිමියා, මිනිහා, සමෙහි වර්ගය-5
🙋🏿‍♂	අත එසවීම, අත ඔසවන මිනිසා, අත ඔසවන මිනිසා: සමෙහි වර්ගය-6, අභිනය, පිරිමියා, මිනිහා, සමෙහි වර්ගය-6
🙋‍♀	අත එසවීම, අත ඔසවන කාන්තාව, අභින, කාන්තාව, ස්ත්‍රිය
🙋🏻‍♀	අත එසවීම, අත ඔසවන කාන්තාව, අත ඔසවන කාන්තාව: සමෙහි වර්ගය-1-2, අභින, කාන්තාව, සමෙහි වර්ගය-1-2, ස්ත්‍රිය
🙋🏼‍♀	අත එසවීම, අත ඔසවන කාන්තාව, අත ඔසවන කාන්තාව: සමෙහි වර්ගය-3, අභින, කාන්තාව, සමෙහි වර්ගය-3, ස්ත්‍රිය
🙋🏽‍♀	අත එසවීම, අත ඔසවන කාන්තාව, අත ඔසවන කාන්තාව: සමෙහි වර්ගය-4, අභින, කාන්තාව, සමෙහි වර්ගය-4, ස්ත්‍රිය
🙋🏾‍♀	අත එසවීම, අත ඔසවන කාන්තාව, අත ඔසවන කාන්තාව: සමෙහි වර්ගය-5, අභින, කාන්තාව, සමෙහි වර්ගය-5, ස්ත්‍රිය
🙋🏿‍♀	අත එසවීම, අත ඔසවන කාන්තාව, අත ඔසවන කාන්තාව: සමෙහි වර්ගය-6, අභින, කාන්තාව, සමෙහි වර්ගය-6, ස්ත්‍රිය
🧏	ඇසීම, කන, බිහිරි, බිහිරි පුද්ගලයා, ළඟාවිය හැකි බව
🧏🏻	ඇසීම, කන, බිහිරි, බිහිරි පුද්ගලයා, බිහිරි පුද්ගලයා: සමෙහි වර්ගය-1-2, සමෙහි වර්ගය-1-2, ළඟාවිය හැකි බව
