😀	cara, cara sorridente, sorriso
🙈	cara, gesto, macaco, macaco com as mãos a tapar os olhos, macaco que não vê nada, mau, não, olhos tapados, proibido, ver
🙉	cara, gesto, macaco, macaco com as mãos a tapar os ouvidos, macaco que não ouve nada, mau, não, ouvidos tapados, ouvir, proibido
🙊	boca tapada, cara, falar, gesto, macaco, macaco com as mãos a tapar a boca, macaco que não diz nada, mau, não, proibido
💋	beijo, coração, lábios, marca, romance
💌	amor, carta, coração, correio, romance
💘	coração, coração com seta, cupido, romance, seta
💝	coração, coração com laço, fita, romance
💖	cintilante, coração, coração a brilhar, coração cintilante, entusiasmado
💗	a crescer, coração, coração a crescer, entusiasmado, nervoso, palpitação
💓	batimento, coração, coração a bater, palpitante
💞	coração, corações, corações a girar, corações a rodopiar, corações rodopiantes, rodopiante
💕	amor, coração, corações
💟	coração, coração decorativo, decoração com coração
❣️	exclamação, ponto de exclamação com coração, pontuação, sinal
💔	coração, partido, partir
❤️	coração
🧡	coração, coração cor de laranja, coração laranja
💛	amarelo, coração
💚	coração, verde
💙	azul, coração
💜	coração, roxo
🤎	castanho, coração, coração castanho
🖤	coração, malvado, mau, preto
💯	100, cem, cem pontos, pontuação
💢	desenho, enfurecido, irritado, símbolo de fúria, símbolo de raiva, zangado
💥	bum, desenho
💫	desenho, estrela, tonto
💦	desenho, gota, gotas de suor, suor
💨	corrida, desenho, fugir, ir-se embora
🕳️	buraco no chão
💣️	bomba, desenho
💬	balão, balão de fala, desenho, diálogo, fala
👁‍🗨	balão de fala, olho, olho em balão de fala, testemunha
🗨️	balão de fala do lado esquerdo, diálogo, fala
🗯️	balão, balão de raiva do lado direito, enfurecido, irritado
💭	balão, desenho, pensamento
💤	desenho, dormir, sesta, sono, zzz
👋	acenar, aceno, corpo, mão, mão a acenar
👋🏻	acenar, aceno, corpo, mão, mão a acenar, mão a acenar: tipo de pele 1–2, tipo de pele 1–2
👋🏼	acenar, aceno, corpo, mão, mão a acenar, mão a acenar: tipo de pele 3, tipo de pele 3
👋🏽	acenar, aceno, corpo, mão, mão a acenar, mão a acenar: tipo de pele 4, tipo de pele 4
👋🏾	acenar, aceno, corpo, mão, mão a acenar, mão a acenar: tipo de pele 5, tipo de pele 5
👋🏿	acenar, aceno, corpo, mão, mão a acenar, mão a acenar: tipo de pele 6, tipo de pele 6
🤚	levantada, mão com costas para fora, palma
🤚🏻	levantada, mão com costas para fora, mão com costas para fora: tipo de pele 1–2, palma, tipo de pele 1–2
🤚🏼	levantada, mão com costas para fora, mão com costas para fora: tipo de pele 3, palma, tipo de pele 3
🤚🏽	levantada, mão com costas para fora, mão com costas para fora: tipo de pele 4, palma, tipo de pele 4
🤚🏾	levantada, mão com costas para fora, mão com costas para fora: tipo de pele 5, palma, tipo de pele 5
🤚🏿	levantada, mão com costas para fora, mão com costas para fora: tipo de pele 6, palma, tipo de pele 6
🖐️	corpo, dedo, dedos abertos, mão, mão erguida com dedos afastados
🖐🏻	corpo, dedo, dedos abertos, mão, mão erguida com dedos afastados, mão erguida com dedos afastados: tipo de pele 1–2, tipo de pele 1–2
🖐🏼	corpo, dedo, dedos abertos, mão, mão erguida com dedos afastados, mão erguida com dedos afastados: tipo de pele 3, tipo de pele 3
🖐🏽	corpo, dedo, dedos abertos, mão, mão erguida com dedos afastados, mão erguida com dedos afastados: tipo de pele 4, tipo de pele 4
🖐🏾	corpo, dedo, dedos abertos, mão, mão erguida com dedos afastados, mão erguida com dedos afastados: tipo de pele 5, tipo de pele 5
🖐🏿	corpo, dedo, dedos abertos, mão, mão erguida com dedos afastados, mão erguida com dedos afastados: tipo de pele 6, tipo de pele 6
✋	corpo, mão, mão erguida
✋🏻	corpo, mão, mão erguida, mão erguida: tipo de pele 1–2, tipo de pele 1–2
✋🏼	corpo, mão, mão erguida, mão erguida: tipo de pele 3, tipo de pele 3
✋🏽	corpo, mão, mão erguida, mão erguida: tipo de pele 4, tipo de pele 4
✋🏾	corpo, mão, mão erguida, mão erguida: tipo de pele 5, tipo de pele 5
✋🏿	corpo, mão, mão erguida, mão erguida: tipo de pele 6, tipo de pele 6
🖖	corpo, dedo, mão, saudação vulcana, spock, vulcano
🖖🏻	corpo, dedo, mão, saudação vulcana, saudação vulcana: tipo de pele 1–2, spock, tipo de pele 1–2, vulcano
🖖🏼	corpo, dedo, mão, saudação vulcana, saudação vulcana: tipo de pele 3, spock, tipo de pele 3, vulcano
🖖🏽	corpo, dedo, mão, saudação vulcana, saudação vulcana: tipo de pele 4, spock, tipo de pele 4, vulcano
🖖🏾	corpo, dedo, mão, saudação vulcana, saudação vulcana: tipo de pele 5, spock, tipo de pele 5, vulcano
🖖🏿	corpo, dedo, mão, saudação vulcana, saudação vulcana: tipo de pele 6, spock, tipo de pele 6, vulcano
👌	OK com a mão, corpo, gesto de OK, mão, mão com gesto de OK, ok, sinal de OK com a mão
👌🏻	OK com a mão, corpo, gesto de OK, gesto de OK: tipo de pele 1–2, mão, mão com gesto de OK, ok, sinal de OK com a mão, tipo de pele 1–2
👌🏼	OK com a mão, corpo, gesto de OK, gesto de OK: tipo de pele 3, mão, mão com gesto de OK, ok, sinal de OK com a mão, tipo de pele 3
👌🏽	OK com a mão, corpo, gesto de OK, gesto de OK: tipo de pele 4, mão, mão com gesto de OK, ok, sinal de OK com a mão, tipo de pele 4
👌🏾	OK com a mão, corpo, gesto de OK, gesto de OK: tipo de pele 5, mão, mão com gesto de OK, ok, sinal de OK com a mão, tipo de pele 5
👌🏿	OK com a mão, corpo, gesto de OK, gesto de OK: tipo de pele 6, mão, mão com gesto de OK, ok, sinal de OK com a mão, tipo de pele 6
🤏	mão a dar um beliscão
🤏🏻	mão a dar um beliscão, mão a dar um beliscão: tipo de pele 1–2, tipo de pele 1–2
🤏🏼	mão a dar um beliscão, mão a dar um beliscão: tipo de pele 3, tipo de pele 3
🤏🏽	mão a dar um beliscão, mão a dar um beliscão: tipo de pele 4, tipo de pele 4
🤏🏾	mão a dar um beliscão, mão a dar um beliscão: tipo de pele 5, tipo de pele 5
🤏🏿	mão a dar um beliscão, mão a dar um beliscão: tipo de pele 6, tipo de pele 6
✌️	corpo, mão, mão em V de vitória, v, vitória
✌🏻	corpo, mão, mão em V de vitória, mão em V de vitória: tipo de pele 1–2, tipo de pele 1–2, v, vitória
✌🏼	corpo, mão, mão em V de vitória, mão em V de vitória: tipo de pele 3, tipo de pele 3, v, vitória
✌🏽	corpo, mão, mão em V de vitória, mão em V de vitória: tipo de pele 4, tipo de pele 4, v, vitória
✌🏾	corpo, mão, mão em V de vitória, mão em V de vitória: tipo de pele 5, tipo de pele 5, v, vitória
✌🏿	corpo, mão, mão em V de vitória, mão em V de vitória: tipo de pele 6, tipo de pele 6, v, vitória
🤞	cruzados, dedos, figas, mão, sorte
🤞🏻	cruzados, dedos, figas, figas: tipo de pele 1–2, mão, sorte, tipo de pele 1–2
🤞🏼	cruzados, dedos, figas, figas: tipo de pele 3, mão, sorte, tipo de pele 3
🤞🏽	cruzados, dedos, figas, figas: tipo de pele 4, mão, sorte, tipo de pele 4
🤞🏾	cruzados, dedos, figas, figas: tipo de pele 5, mão, sorte, tipo de pele 5
🤞🏿	cruzados, dedos, figas, figas: tipo de pele 6, mão, sorte, tipo de pele 6
🤟	amo-te, gesto "amo-te", gesto de amo-te, mão
🤟🏻	amo-te, gesto "amo-te", gesto "amo-te": tipo de pele 1–2, gesto de amo-te, mão, tipo de pele 1–2
🤟🏼	amo-te, gesto "amo-te", gesto "amo-te": tipo de pele 3, gesto de amo-te, mão, tipo de pele 3
🤟🏽	amo-te, gesto "amo-te", gesto "amo-te": tipo de pele 4, gesto de amo-te, mão, tipo de pele 4
🤟🏾	amo-te, gesto "amo-te", gesto "amo-te": tipo de pele 5, gesto de amo-te, mão, tipo de pele 5
🤟🏿	amo-te, gesto "amo-te", gesto "amo-te": tipo de pele 6, gesto de amo-te, mão, tipo de pele 6
🤘	cornos, corpo, dedo, mão, mão a fazer cornos, rock’n’roll
🤘🏻	cornos, corpo, dedo, mão, mão a fazer cornos, mão a fazer cornos: tipo de pele 1–2, rock’n’roll, tipo de pele 1–2
🤘🏼	cornos, corpo, dedo, mão, mão a fazer cornos, mão a fazer cornos: tipo de pele 3, rock’n’roll, tipo de pele 3
🤘🏽	cornos, corpo, dedo, mão, mão a fazer cornos, mão a fazer cornos: tipo de pele 4, rock’n’roll, tipo de pele 4
🤘🏾	cornos, corpo, dedo, mão, mão a fazer cornos, mão a fazer cornos: tipo de pele 5, rock’n’roll, tipo de pele 5
🤘🏿	cornos, corpo, dedo, mão, mão a fazer cornos, mão a fazer cornos: tipo de pele 6, rock’n’roll, tipo de pele 6
🤙	chamada, gesto "liga-me", gesto de liga-me, gesto liga-me, liga-me, mão
🤙🏻	chamada, gesto "liga-me", gesto de liga-me, gesto liga-me, liga-me, liga-me: tipo de pele 1–2, mão, tipo de pele 1–2
🤙🏼	chamada, gesto "liga-me", gesto de liga-me, gesto liga-me, liga-me, liga-me: tipo de pele 3, mão, tipo de pele 3
🤙🏽	chamada, gesto "liga-me", gesto de liga-me, gesto liga-me, liga-me, liga-me: tipo de pele 4, mão, tipo de pele 4
🤙🏾	chamada, gesto "liga-me", gesto de liga-me, gesto liga-me, liga-me, liga-me: tipo de pele 5, mão, tipo de pele 5
🤙🏿	chamada, gesto "liga-me", gesto de liga-me, gesto liga-me, liga-me, liga-me: tipo de pele 6, mão, tipo de pele 6
👈️	apontar, costas da mão, costas da mão com dedo indicador a apontar para a esquerda, dedo, indicador, mão
👈🏻	apontar, costas da mão, costas da mão com dedo indicador a apontar para a esquerda, costas da mão com dedo indicador a apontar para a esquerda: tipo de pele 1–2, dedo, indicador, mão, tipo de pele 1–2
👈🏼	apontar, costas da mão, costas da mão com dedo indicador a apontar para a esquerda, costas da mão com dedo indicador a apontar para a esquerda: tipo de pele 3, dedo, indicador, mão, tipo de pele 3
👈🏽	apontar, costas da mão, costas da mão com dedo indicador a apontar para a esquerda, costas da mão com dedo indicador a apontar para a esquerda: tipo de pele 4, dedo, indicador, mão, tipo de pele 4
👈🏾	apontar, costas da mão, costas da mão com dedo indicador a apontar para a esquerda, costas da mão com dedo indicador a apontar para a esquerda: tipo de pele 5, dedo, indicador, mão, tipo de pele 5
👈🏿	apontar, costas da mão, costas da mão com dedo indicador a apontar para a esquerda, costas da mão com dedo indicador a apontar para a esquerda: tipo de pele 6, dedo, indicador, mão, tipo de pele 6
👉️	apontar, corpo, costas da mão, costas da mão com dedo indicador a apontar para a direita, dedo, indicador, mão
👉🏻	apontar, corpo, costas da mão, costas da mão com dedo indicador a apontar para a direita, costas da mão com dedo indicador a apontar para a direita: tipo de pele 1–2, dedo, indicador, mão, tipo de pele 1–2
👉🏼	apontar, corpo, costas da mão, costas da mão com dedo indicador a apontar para a direita, costas da mão com dedo indicador a apontar para a direita: tipo de pele 3, dedo, indicador, mão, tipo de pele 3
👉🏽	apontar, corpo, costas da mão, costas da mão com dedo indicador a apontar para a direita, costas da mão com dedo indicador a apontar para a direita: tipo de pele 4, dedo, indicador, mão, tipo de pele 4
👉🏾	apontar, corpo, costas da mão, costas da mão com dedo indicador a apontar para a direita, costas da mão com dedo indicador a apontar para a direita: tipo de pele 5, dedo, indicador, mão, tipo de pele 5
👉🏿	apontar, corpo, costas da mão, costas da mão com dedo indicador a apontar para a direita, costas da mão com dedo indicador a apontar para a direita: tipo de pele 6, dedo, indicador, mão, tipo de pele 6
👆️	apontar, corpo, costas da mão, costas da mão com dedo indicador a apontar para cima, dedo, indicador, mão, para cima
👆🏻	apontar, corpo, costas da mão, costas da mão com dedo indicador a apontar para cima, costas da mão com dedo indicador a apontar para cima: tipo de pele 1–2, dedo, indicador, mão, para cima, tipo de pele 1–2
👆🏼	apontar, corpo, costas da mão, costas da mão com dedo indicador a apontar para cima, costas da mão com dedo indicador a apontar para cima: tipo de pele 3, dedo, indicador, mão, para cima, tipo de pele 3
👆🏽	apontar, corpo, costas da mão, costas da mão com dedo indicador a apontar para cima, costas da mão com dedo indicador a apontar para cima: tipo de pele 4, dedo, indicador, mão, para cima, tipo de pele 4
👆🏾	apontar, corpo, costas da mão, costas da mão com dedo indicador a apontar para cima, costas da mão com dedo indicador a apontar para cima: tipo de pele 5, dedo, indicador, mão, para cima, tipo de pele 5
👆🏿	apontar, corpo, costas da mão, costas da mão com dedo indicador a apontar para cima, costas da mão com dedo indicador a apontar para cima: tipo de pele 6, dedo, indicador, mão, para cima, tipo de pele 6
🖕	dedo, dedo médio, mão
🖕🏻	dedo, dedo médio, dedo médio: tipo de pele 1–2, mão, tipo de pele 1–2
🖕🏼	dedo, dedo médio, dedo médio: tipo de pele 3, mão, tipo de pele 3
🖕🏽	dedo, dedo médio, dedo médio: tipo de pele 4, mão, tipo de pele 4
🖕🏾	dedo, dedo médio, dedo médio: tipo de pele 5, mão, tipo de pele 5
🖕🏿	dedo, dedo médio, dedo médio: tipo de pele 6, mão, tipo de pele 6
👇️	apontar, corpo, costas da mão, costas da mão com dedo indicador a apontar para baixo, dedo, indicador, mão, para baixo
👇🏻	apontar, corpo, costas da mão, costas da mão com dedo indicador a apontar para baixo, costas da mão com dedo indicador a apontar para baixo: tipo de pele 1–2, dedo, indicador, mão, para baixo, tipo de pele 1–2
👇🏼	apontar, corpo, costas da mão, costas da mão com dedo indicador a apontar para baixo, costas da mão com dedo indicador a apontar para baixo: tipo de pele 3, dedo, indicador, mão, para baixo, tipo de pele 3
👇🏽	apontar, corpo, costas da mão, costas da mão com dedo indicador a apontar para baixo, costas da mão com dedo indicador a apontar para baixo: tipo de pele 4, dedo, indicador, mão, para baixo, tipo de pele 4
👇🏾	apontar, corpo, costas da mão, costas da mão com dedo indicador a apontar para baixo, costas da mão com dedo indicador a apontar para baixo: tipo de pele 5, dedo, indicador, mão, para baixo, tipo de pele 5
👇🏿	apontar, corpo, costas da mão, costas da mão com dedo indicador a apontar para baixo, costas da mão com dedo indicador a apontar para baixo: tipo de pele 6, dedo, indicador, mão, para baixo, tipo de pele 6
☝️	apontar, dedo, dedo indicador a apontar para cima, indicador, mão, para cima
☝🏻	apontar, dedo, dedo indicador a apontar para cima, dedo indicador a apontar para cima: tipo de pele 1–2, indicador, mão, para cima, tipo de pele 1–2
☝🏼	apontar, dedo, dedo indicador a apontar para cima, dedo indicador a apontar para cima: tipo de pele 3, indicador, mão, para cima, tipo de pele 3
☝🏽	apontar, dedo, dedo indicador a apontar para cima, dedo indicador a apontar para cima: tipo de pele 4, indicador, mão, para cima, tipo de pele 4
☝🏾	apontar, dedo, dedo indicador a apontar para cima, dedo indicador a apontar para cima: tipo de pele 5, indicador, mão, para cima, tipo de pele 5
☝🏿	apontar, dedo, dedo indicador a apontar para cima, dedo indicador a apontar para cima: tipo de pele 6, indicador, mão, para cima, tipo de pele 6
👍️	corpo, gosto, mão, para cima, polegar, polegar para cima
👍🏻	corpo, gosto, mão, para cima, polegar, polegar para cima, polegar para cima: tipo de pele 1–2, tipo de pele 1–2
👍🏼	corpo, gosto, mão, para cima, polegar, polegar para cima, polegar para cima: tipo de pele 3, tipo de pele 3
👍🏽	corpo, gosto, mão, para cima, polegar, polegar para cima, polegar para cima: tipo de pele 4, tipo de pele 4
👍🏾	corpo, gosto, mão, para cima, polegar, polegar para cima, polegar para cima: tipo de pele 5, tipo de pele 5
👍🏿	corpo, gosto, mão, para cima, polegar, polegar para cima, polegar para cima: tipo de pele 6, tipo de pele 6
👎️	corpo, mão, não gosto, para baixo, polegar, polegar para baixo
👎🏻	corpo, mão, não gosto, para baixo, polegar, polegar para baixo, polegar para baixo: tipo de pele 1–2, tipo de pele 1–2
👎🏼	corpo, mão, não gosto, para baixo, polegar, polegar para baixo, polegar para baixo: tipo de pele 3, tipo de pele 3
👎🏽	corpo, mão, não gosto, para baixo, polegar, polegar para baixo, polegar para baixo: tipo de pele 4, tipo de pele 4
👎🏾	corpo, mão, não gosto, para baixo, polegar, polegar para baixo, polegar para baixo: tipo de pele 5, tipo de pele 5
👎🏿	corpo, mão, não gosto, para baixo, polegar, polegar para baixo, polegar para baixo: tipo de pele 6, tipo de pele 6
✊	cerrado, corpo, mão, punho, punho erguido, punho levantado, soco
✊🏻	cerrado, corpo, mão, punho, punho erguido, punho erguido: tipo de pele 1–2, punho levantado, soco, tipo de pele 1–2
✊🏼	cerrado, corpo, mão, punho, punho erguido, punho erguido: tipo de pele 3, punho levantado, soco, tipo de pele 3
✊🏽	cerrado, corpo, mão, punho, punho erguido, punho erguido: tipo de pele 4, punho levantado, soco, tipo de pele 4
✊🏾	cerrado, corpo, mão, punho, punho erguido, punho erguido: tipo de pele 5, punho levantado, soco, tipo de pele 5
✊🏿	cerrado, corpo, mão, punho, punho erguido, punho erguido: tipo de pele 6, punho levantado, soco, tipo de pele 6
👊	cerrado, corpo, mão, punho, punho a aproximar-se, punho fechado, soco
👊🏻	cerrado, corpo, mão, punho, punho a aproximar-se, punho a aproximar-se: tipo de pele 1–2, punho fechado, soco, tipo de pele 1–2
👊🏼	cerrado, corpo, mão, punho, punho a aproximar-se, punho a aproximar-se: tipo de pele 3, punho fechado, soco, tipo de pele 3
👊🏽	cerrado, corpo, mão, punho, punho a aproximar-se, punho a aproximar-se: tipo de pele 4, punho fechado, soco, tipo de pele 4
👊🏾	cerrado, corpo, mão, punho, punho a aproximar-se, punho a aproximar-se: tipo de pele 5, punho fechado, soco, tipo de pele 5
👊🏿	cerrado, corpo, mão, punho, punho a aproximar-se, punho a aproximar-se: tipo de pele 6, punho fechado, soco, tipo de pele 6
🤛	esquerda, punho, punho voltado para a esquerda
🤛🏻	esquerda, punho, punho voltado para a esquerda, punho voltado para a esquerda: tipo de pele 1–2, tipo de pele 1–2
🤛🏼	esquerda, punho, punho voltado para a esquerda, punho voltado para a esquerda: tipo de pele 3, tipo de pele 3
🤛🏽	esquerda, punho, punho voltado para a esquerda, punho voltado para a esquerda: tipo de pele 4, tipo de pele 4
🤛🏾	esquerda, punho, punho voltado para a esquerda, punho voltado para a esquerda: tipo de pele 5, tipo de pele 5
🤛🏿	esquerda, punho, punho voltado para a esquerda, punho voltado para a esquerda: tipo de pele 6, tipo de pele 6
🤜	direita, punho, punho voltado para a direita
🤜🏻	direita, punho, punho voltado para a direita, punho voltado para a direita: tipo de pele 1–2, tipo de pele 1–2
🤜🏼	direita, punho, punho voltado para a direita, punho voltado para a direita: tipo de pele 3, tipo de pele 3
🤜🏽	direita, punho, punho voltado para a direita, punho voltado para a direita: tipo de pele 4, tipo de pele 4
🤜🏾	direita, punho, punho voltado para a direita, punho voltado para a direita: tipo de pele 5, tipo de pele 5
🤜🏿	direita, punho, punho voltado para a direita, punho voltado para a direita: tipo de pele 6, tipo de pele 6
👏	bater palmas, corpo, mão, mãos a bater palmas
👏🏻	bater palmas, corpo, mão, mãos a bater palmas, mãos a bater palmas: tipo de pele 1–2, tipo de pele 1–2
👏🏼	bater palmas, corpo, mão, mãos a bater palmas, mãos a bater palmas: tipo de pele 3, tipo de pele 3
👏🏽	bater palmas, corpo, mão, mãos a bater palmas, mãos a bater palmas: tipo de pele 4, tipo de pele 4
👏🏾	bater palmas, corpo, mão, mãos a bater palmas, mãos a bater palmas: tipo de pele 5, tipo de pele 5
👏🏿	bater palmas, corpo, mão, mãos a bater palmas, mãos a bater palmas: tipo de pele 6, tipo de pele 6
🙌	celebração, corpo, gesto, mão, mãos levantadas, mãos no ar, viva
🙌🏻	celebração, corpo, gesto, mão, mãos levantadas, mãos no ar, mãos no ar: tipo de pele 1–2, tipo de pele 1–2, viva
🙌🏼	celebração, corpo, gesto, mão, mãos levantadas, mãos no ar, mãos no ar: tipo de pele 3, tipo de pele 3, viva
🙌🏽	celebração, corpo, gesto, mão, mãos levantadas, mãos no ar, mãos no ar: tipo de pele 4, tipo de pele 4, viva
🙌🏾	celebração, corpo, gesto, mão, mãos levantadas, mãos no ar, mãos no ar: tipo de pele 5, tipo de pele 5, viva
🙌🏿	celebração, corpo, gesto, mão, mãos levantadas, mãos no ar, mãos no ar: tipo de pele 6, tipo de pele 6, viva
👐	aberta, corpo, mão
👐🏻	aberta, corpo, mão, mãos abertas: tipo de pele 1–2, tipo de pele 1–2
👐🏼	aberta, corpo, mão, mãos abertas: tipo de pele 3, tipo de pele 3
👐🏽	aberta, corpo, mão, mãos abertas: tipo de pele 4, tipo de pele 4
👐🏾	aberta, corpo, mão, mãos abertas: tipo de pele 5, tipo de pele 5
👐🏿	aberta, corpo, mão, mãos abertas: tipo de pele 6, tipo de pele 6
🤲	mãos abertas, mãos estendidas, palmas abertas, palmas juntas abertas, palmas juntas para cima, prece
🤲🏻	mãos abertas, mãos estendidas, palmas abertas, palmas juntas abertas, palmas juntas abertas: tipo de pele 1–2, palmas juntas para cima, prece, tipo de pele 1–2
🤲🏼	mãos abertas, mãos estendidas, palmas abertas, palmas juntas abertas, palmas juntas abertas: tipo de pele 3, palmas juntas para cima, prece, tipo de pele 3
🤲🏽	mãos abertas, mãos estendidas, palmas abertas, palmas juntas abertas, palmas juntas abertas: tipo de pele 4, palmas juntas para cima, prece, tipo de pele 4
🤲🏾	mãos abertas, mãos estendidas, palmas abertas, palmas juntas abertas, palmas juntas abertas: tipo de pele 5, palmas juntas para cima, prece, tipo de pele 5
🤲🏿	mãos abertas, mãos estendidas, palmas abertas, palmas juntas abertas, palmas juntas abertas: tipo de pele 6, palmas juntas para cima, prece, tipo de pele 6
🤝	acordo, aperto, aperto de mão, mão, passou-bem, reunião
